Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,0.11,0.11,0.10,0.10,236400,0.10
2015-08-10,0.105,0.105,0.10,0.10,264300,0.10
2015-08-11,0.10,0.10,0.099,0.099,760400,0.099
2015-08-12,0.097,0.10,0.097,0.097,202900,0.097
2015-08-13,0.10,0.10,0.097,0.099,564200,0.099
2015-08-14,0.099,0.10,0.097,0.10,434500,0.10
2015-08-17,0.10,0.10,0.096,0.096,703100,0.096
2015-08-18,0.098,0.099,0.096,0.097,477500,0.097
2015-08-19,0.096,0.096,0.094,0.094,382600,0.094
2015-08-20,0.094,0.094,0.09,0.09,269200,0.09
2015-08-21,0.09,0.093,0.088,0.09,587100,0.09
2015-08-24,0.089,0.091,0.082,0.082,942200,0.082
2015-08-25,0.08,0.08,0.077,0.077,1141700,0.077
2015-08-26,0.079,0.086,0.077,0.077,1298200,0.077
2015-08-27,0.08,0.08,0.077,0.078,566200,0.078
2015-08-28,0.079,0.08,0.077,0.078,616400,0.078
2015-08-31,0.078,0.0785,0.075,0.075,923900,0.075
2015-09-01,0.075,0.075,0.073,0.075,538400,0.075
2015-09-02,0.075,0.075,0.069,0.069,926600,0.069
2015-09-03,0.072,0.072,0.067,0.067,802800,0.067
2015-09-04,0.071,0.075,0.069,0.071,1228000,0.071
2015-09-07,0.072,0.075,0.07,0.071,1118700,0.071
2015-09-08,0.072,0.072,0.07,0.07,178900,0.07
2015-09-09,0.07,0.071,0.069,0.071,285400,0.071
2015-09-10,0.071,0.071,0.067,0.067,766400,0.067
2015-09-11,0.07,0.072,0.067,0.069,686200,0.069
2015-09-14,0.072,0.072,0.068,0.07,819800,0.07
2015-09-15,0.07,0.071,0.07,0.071,237700,0.071
2015-09-16,0.072,0.073,0.071,0.071,569200,0.071
2015-09-17,0.073,0.074,0.069,0.07,790700,0.07
2015-09-18,0.07,0.07,0.067,0.067,4097200,0.067
2015-09-21,0.07,0.071,0.067,0.067,552800,0.067
2015-09-22,0.069,0.069,0.067,0.067,258000,0.067
2015-09-23,0.067,0.068,0.065,0.066,897600,0.066
2015-09-24,0.066,0.066,0.065,0.065,490700,0.065
2015-09-25,0.066,0.068,0.065,0.065,266300,0.065
2015-09-28,0.065,0.0655,0.065,0.065,197900,0.065
2015-09-29,0.065,0.065,0.063,0.063,291000,0.063
2015-09-30,0.065,0.065,0.061,0.061,376400,0.061
2015-10-01,0.062,0.063,0.061,0.062,369800,0.062
2015-10-02,0.063,0.067,0.063,0.067,323500,0.067
2015-10-05,0.066,0.068,0.064,0.065,363800,0.065
2015-10-06,0.069,0.074,0.067,0.067,2223800,0.067
2015-10-07,0.07,0.072,0.068,0.068,1882300,0.068
2015-10-08,0.07,0.074,0.07,0.072,2791700,0.072
2015-10-09,0.074,0.088,0.074,0.087,4686800,0.087
2015-10-12,0.087,0.10,0.087,0.095,3306100,0.095
2015-10-13,0.095,0.125,0.095,0.115,4169400,0.115
2015-10-14,0.105,0.115,0.10,0.105,1265700,0.105
2015-10-15,0.105,0.11,0.105,0.105,423000,0.105
2015-10-16,0.11,0.115,0.105,0.105,361500,0.105
2015-10-19,0.105,0.105,0.105,0.105,33000,0.105
2015-10-20,0.10,0.10,0.10,0.10,53800,0.10
2015-10-21,0.105,0.105,0.10,0.105,337000,0.105
2015-10-22,0.102,0.1025,0.10,0.10,201800,0.10
2015-10-23,0.10,0.105,0.096,0.105,960000,0.105
2015-10-26,0.105,0.11,0.105,0.105,227500,0.105
2015-10-27,0.11,0.115,0.11,0.11,344200,0.11
2015-10-28,0.11,0.11,0.11,0.11,121000,0.11
2015-10-29,0.105,0.11,0.10,0.105,468200,0.105
2015-10-30,0.105,0.11,0.10,0.10,15400,0.10
2015-11-02,0.10,0.11,0.10,0.10,825000,0.10
2015-11-03,0.105,0.105,0.10,0.10,33100,0.10
2015-11-04,0.105,0.105,0.10,0.10,219700,0.10
2015-11-05,0.10,0.105,0.095,0.096,747700,0.096
2015-11-06,0.098,0.098,0.088,0.088,1395900,0.088
2015-11-09,0.089,0.094,0.089,0.089,231100,0.089
2015-11-10,0.089,0.09,0.08,0.081,2976900,0.081
2015-11-11,0.082,0.088,0.082,0.082,256000,0.082
2015-11-12,0.083,0.086,0.081,0.082,203500,0.082
2015-11-13,0.083,0.083,0.08,0.082,210600,0.082
2015-11-16,0.083,0.083,0.08,0.08,366000,0.08
2015-11-17,0.08,0.0805,0.073,0.073,320200,0.073
2015-11-18,0.077,0.083,0.077,0.082,388100,0.082
2015-11-19,0.081,0.0825,0.075,0.075,479400,0.075
2015-11-20,0.075,0.081,0.075,0.078,210700,0.078
2015-11-23,0.078,0.081,0.075,0.075,416700,0.075
2015-11-24,0.08,0.08,0.076,0.076,607100,0.076
2015-11-25,0.076,0.081,0.076,0.076,878600,0.076
2015-11-26,0.079,0.08,0.076,0.076,454400,0.076
2015-11-27,0.076,0.077,0.073,0.073,450900,0.073
2015-11-30,0.074,0.075,0.073,0.074,74900,0.074
2015-12-01,0.074,0.074,0.074,0.074,81800,0.074
2015-12-02,0.074,0.074,0.073,0.073,156000,0.073
2015-12-03,0.073,0.076,0.073,0.076,82100,0.076
2015-12-04,0.074,0.0765,0.074,0.076,343700,0.076
2015-12-07,0.078,0.078,0.072,0.074,823800,0.074
2015-12-08,0.072,0.075,0.071,0.071,296500,0.071
2015-12-09,0.074,0.074,0.07,0.07,197400,0.07
2015-12-10,0.07,0.072,0.069,0.069,189700,0.069
2015-12-11,0.07,0.07,0.068,0.07,109800,0.07
2015-12-14,0.068,0.07,0.066,0.066,223400,0.066
2015-12-15,0.066,0.067,0.066,0.066,398300,0.066
2015-12-16,0.067,0.067,0.063,0.063,626000,0.063
2015-12-17,0.064,0.067,0.064,0.065,518800,0.065
2015-12-18,0.065,0.065,0.062,0.064,359500,0.064
2015-12-21,0.065,0.065,0.061,0.064,570200,0.064
2015-12-22,0.062,0.065,0.061,0.061,170400,0.061
2015-12-23,0.061,0.063,0.061,0.062,560800,0.062
2015-12-24,0.062,0.063,0.062,0.062,709000,0.062
2015-12-25,0.062,0.062,0.062,0.062,000,0.062
2015-12-28,0.062,0.062,0.062,0.062,000,0.062
2015-12-29,0.064,0.065,0.062,0.063,255600,0.063
2015-12-30,0.062,0.065,0.062,0.063,573600,0.063
2015-12-31,0.063,0.065,0.06,0.061,2627200,0.061
2016-01-01,0.061,0.061,0.061,0.061,000,0.061
2016-01-04,0.064,0.065,0.061,0.065,488000,0.065
2016-01-05,0.065,0.065,0.063,0.064,62000,0.064
2016-01-06,0.064,0.065,0.064,0.065,229800,0.065
2016-01-07,0.065,0.065,0.062,0.063,631900,0.063
2016-01-08,0.062,0.062,0.061,0.061,436400,0.061
2016-01-11,0.06,0.0605,0.06,0.06,599500,0.06
2016-01-12,0.06,0.061,0.058,0.058,652100,0.058
2016-01-13,0.06,0.06,0.057,0.057,562600,0.057
2016-01-14,0.057,0.057,0.056,0.057,101300,0.057
2016-01-15,0.058,0.058,0.057,0.057,97500,0.057
2016-01-18,0.057,0.057,0.056,0.056,83600,0.056
2016-01-19,0.055,0.055,0.054,0.055,179500,0.055
2016-01-20,0.056,0.056,0.045,0.045,873900,0.045
2016-01-21,0.046,0.046,0.041,0.041,274800,0.041
2016-01-22,0.044,0.05,0.044,0.05,572800,0.05
2016-01-25,0.05,0.051,0.048,0.048,841200,0.048
2016-01-26,0.048,0.048,0.048,0.048,000,0.048
2016-01-27,0.05,0.05,0.05,0.05,43700,0.05
2016-01-28,0.051,0.051,0.05,0.05,102000,0.05
2016-01-29,0.05,0.05,0.048,0.05,353800,0.05
2016-02-01,0.051,0.051,0.049,0.049,355300,0.049
2016-02-02,0.05,0.05,0.049,0.049,468500,0.049
2016-02-03,0.048,0.049,0.047,0.049,431900,0.049
2016-02-04,0.05,0.05,0.049,0.05,141600,0.05
2016-02-05,0.051,0.055,0.05,0.05,1070600,0.05
2016-02-08,0.051,0.054,0.051,0.052,194200,0.052
2016-02-09,0.055,0.057,0.052,0.055,816600,0.055
2016-02-10,0.055,0.056,0.052,0.052,962300,0.052
2016-02-11,0.055,0.055,0.052,0.054,350000,0.054
2016-02-12,0.056,0.057,0.054,0.054,1012700,0.054
2016-02-15,0.056,0.057,0.055,0.056,172400,0.056
2016-02-16,0.057,0.058,0.053,0.057,896000,0.057
2016-02-17,0.058,0.058,0.054,0.057,541800,0.057
2016-02-18,0.058,0.059,0.057,0.057,606100,0.057
2016-02-19,0.057,0.057,0.057,0.057,407100,0.057
2016-02-22,0.059,0.059,0.056,0.056,194500,0.056
2016-02-23,0.058,0.06,0.058,0.06,186800,0.06
2016-02-24,0.061,0.062,0.06,0.061,571200,0.061
2016-02-25,0.062,0.068,0.062,0.064,486000,0.064
2016-02-26,0.065,0.07,0.065,0.067,1595900,0.067
2016-02-29,0.069,0.092,0.067,0.092,3442400,0.092
2016-03-01,0.087,0.087,0.075,0.082,1469300,0.082
2016-03-02,0.08,0.083,0.076,0.082,983200,0.082
2016-03-03,0.083,0.085,0.08,0.081,525400,0.081
2016-03-04,0.081,0.081,0.077,0.078,460300,0.078
2016-03-07,0.078,0.082,0.078,0.082,1000300,0.082
2016-03-08,0.082,0.086,0.08,0.086,1033300,0.086
2016-03-09,0.087,0.092,0.087,0.089,1724900,0.089
2016-03-10,0.092,0.11,0.09,0.09,4552000,0.09
2016-03-11,0.092,0.094,0.091,0.091,1546000,0.091
2016-03-14,0.097,0.105,0.095,0.099,1886800,0.099
2016-03-15,0.10,0.105,0.10,0.10,2430700,0.10
2016-03-16,0.105,0.11,0.10,0.10,3436000,0.10
2016-03-17,0.11,0.115,0.105,0.105,2301500,0.105
2016-03-18,0.115,0.12,0.115,0.115,1306300,0.115
2016-03-21,0.12,0.12,0.105,0.11,432100,0.11
2016-03-22,0.105,0.11,0.10,0.10,1100400,0.10
2016-03-23,0.105,0.105,0.097,0.098,790000,0.098
2016-03-24,0.10,0.10,0.087,0.088,2578100,0.088
2016-03-25,0.088,0.088,0.088,0.088,000,0.088
2016-03-28,0.088,0.088,0.088,0.088,000,0.088
2016-03-29,0.089,0.093,0.085,0.085,1113500,0.085
2016-03-30,0.089,0.093,0.085,0.087,644000,0.087
2016-03-31,0.086,0.09,0.085,0.089,170200,0.089
2016-04-01,0.089,0.091,0.085,0.091,460600,0.091
2016-04-04,0.09,0.09,0.087,0.088,456800,0.088
2016-04-05,0.088,0.088,0.085,0.087,134500,0.087
2016-04-06,0.088,0.088,0.081,0.083,189000,0.083
2016-04-07,0.083,0.084,0.081,0.081,365000,0.081
2016-04-08,0.081,0.083,0.08,0.08,339000,0.08
2016-04-11,0.08,0.088,0.08,0.085,514500,0.085
2016-04-12,0.085,0.09,0.085,0.09,174000,0.09
2016-04-13,0.092,0.105,0.092,0.105,1363000,0.105
2016-04-14,0.105,0.105,0.097,0.10,444400,0.10
2016-04-15,0.10,0.10,0.098,0.098,134900,0.098


2016-04-18,0.10,0.115,0.10,0.10,756000,0.10
2016-04-19,0.10,0.105,0.095,0.095,1013000,0.095
2016-04-20,0.098,0.098,0.092,0.092,300800,0.092
2016-04-21,0.095,0.10,0.095,0.099,298100,0.099
2016-04-22,0.099,0.099,0.091,0.091,317600,0.091


2016-04-25,0.091,0.091,0.091,0.091,000,0.091
2016-04-26,0.092,0.093,0.088,0.089,684400,0.089
2016-04-27,0.088,0.089,0.088,0.088,312600,0.088
2016-04-28,0.088,0.093,0.088,0.088,51100,0.088
2016-04-29,0.089,0.095,0.089,0.094,136900,0.094


2016-05-02,0.094,0.10,0.094,0.10,891500,0.10
2016-05-03,0.105,0.115,0.105,0.115,2037000,0.115
2016-05-04,0.115,0.115,0.105,0.105,399100,0.105
2016-05-05,0.115,0.115,0.105,0.105,264100,0.105
2016-05-06,0.11,0.11,0.10,0.10,142100,0.10


2016-05-09,0.105,0.115,0.10,0.10,1177900,0.10
2016-05-10,0.10,0.1025,0.10,0.10,217700,0.10
2016-05-11,0.10,0.105,0.10,0.10,219000,0.10
2016-05-12,0.10,0.105,0.10,0.10,146300,0.10
2016-05-13,0.10,0.105,0.10,0.10,113500,0.10


2016-05-16,0.105,0.105,0.10,0.10,366600,0.10
2016-05-17,0.099,0.10,0.096,0.096,925800,0.096
2016-05-18,0.10,0.10,0.096,0.096,20300,0.096
2016-05-19,0.096,0.096,0.095,0.096,102700,0.096
2016-05-20,0.096,0.096,0.094,0.094,355500,0.094


2016-05-23,0.095,0.098,0.095,0.098,98500,0.098
2016-05-24,0.097,0.105,0.097,0.098,541200,0.098
2016-05-25,0.098,0.10,0.095,0.098,314000,0.098
2016-05-26,0.10,0.10,0.10,0.10,160400,0.10
2016-05-27,0.10,0.10,0.098,0.099,279400,0.099


2016-05-30,0.099,0.10,0.099,0.099,91200,0.099
2016-05-31,0.10,0.105,0.098,0.10,123800,0.10
2016-06-01,0.098,0.10,0.096,0.10,173600,0.10
2016-06-02,0.10,0.10,0.094,0.094,921500,0.094
2016-06-03,0.095,0.10,0.094,0.095,416300,0.095


2016-06-06,0.096,0.099,0.095,0.095,292700,0.095
2016-06-07,0.094,0.097,0.094,0.094,56000,0.094
2016-06-08,0.096,0.097,0.094,0.097,161900,0.097
2016-06-09,0.094,0.096,0.093,0.093,309300,0.093
2016-06-10,0.096,0.096,0.092,0.092,387400,0.092


2016-06-13,0.092,0.092,0.092,0.092,000,0.092
2016-06-14,0.092,0.093,0.09,0.092,1014200,0.092
