Date,Open,High,Low,Close,Volume,Adj Close
2015-02-24,0.06,0.06,0.06,0.06,000,0.06
2015-02-25,0.06,0.06,0.06,0.06,000,0.06
2015-02-26,0.06,0.06,0.06,0.06,30000,0.06
2015-02-27,0.06,0.06,0.06,0.06,000,0.06
2015-03-02,0.06,0.06,0.06,0.06,000,0.06
2015-03-03,0.06,0.06,0.06,0.06,000,0.06
2015-03-04,0.06,0.06,0.06,0.06,000,0.06
2015-03-05,0.06,0.06,0.06,0.06,000,0.06
2015-03-06,0.06,0.06,0.06,0.06,000,0.06
2015-03-09,0.06,0.06,0.06,0.06,000,0.06
2015-03-10,0.06,0.06,0.06,0.06,000,0.06
2015-03-11,0.06,0.06,0.06,0.06,000,0.06
2015-03-12,0.06,0.06,0.06,0.06,000,0.06
2015-03-13,0.06,0.06,0.06,0.06,000,0.06
2015-03-16,0.06,0.06,0.05,0.05,57000,0.05
2015-03-17,0.05,0.05,0.05,0.05,000,0.05
2015-03-18,0.05,0.05,0.05,0.05,20000,0.05
2015-03-19,0.05,0.05,0.05,0.05,21500,0.05
2015-03-20,0.05,0.05,0.05,0.05,000,0.05
2015-03-23,0.05,0.05,0.05,0.05,000,0.05
2015-03-24,0.05,0.05,0.05,0.05,000,0.05
2015-03-25,0.05,0.05,0.05,0.05,000,0.05
2015-03-26,0.05,0.05,0.05,0.05,000,0.05
2015-03-27,0.05,0.05,0.05,0.05,000,0.05
2015-03-30,0.05,0.05,0.05,0.05,000,0.05
2015-03-31,0.05,0.05,0.05,0.05,35000,0.05
2015-04-01,0.05,0.05,0.05,0.05,000,0.05
2015-04-02,0.05,0.05,0.05,0.05,000,0.05
2015-04-03,0.05,0.05,0.05,0.05,000,0.05
2015-04-06,0.05,0.05,0.05,0.05,000,0.05
2015-04-07,0.05,0.05,0.05,0.05,000,0.05
2015-04-08,0.05,0.05,0.05,0.05,000,0.05
2015-04-09,0.05,0.05,0.05,0.05,000,0.05
2015-04-10,0.05,0.05,0.05,0.05,000,0.05
2015-04-13,0.05,0.05,0.05,0.05,000,0.05
2015-04-14,0.05,0.05,0.05,0.05,000,0.05
2015-04-15,0.05,0.05,0.05,0.05,000,0.05
2015-04-16,0.05,0.05,0.05,0.05,000,0.05
2015-04-17,0.05,0.05,0.05,0.05,000,0.05
2015-04-20,0.05,0.05,0.05,0.05,000,0.05
2015-04-21,0.051,0.051,0.051,0.051,75000,0.051
2015-04-22,0.051,0.051,0.051,0.051,50000,0.051
2015-04-23,0.051,0.051,0.051,0.051,000,0.051
2015-04-24,0.052,0.052,0.05,0.05,110000,0.05
2015-04-27,0.05,0.05,0.05,0.05,000,0.05
2015-04-28,0.051,0.051,0.051,0.051,250000,0.051
2015-04-29,0.051,0.053,0.051,0.053,298000,0.053
2015-04-30,0.053,0.053,0.051,0.051,327000,0.051
2015-05-01,0.051,0.051,0.051,0.051,000,0.051
2015-05-04,0.051,0.051,0.051,0.051,000,0.051
2015-05-05,0.052,0.052,0.052,0.052,150000,0.052
2015-05-06,0.052,0.052,0.052,0.052,000,0.052
2015-05-07,0.052,0.052,0.052,0.052,000,0.052
2015-05-08,0.052,0.052,0.052,0.052,000,0.052
2015-05-11,0.052,0.052,0.052,0.052,000,0.052
2015-05-12,0.05,0.05,0.05,0.05,25000,0.05
2015-05-13,0.05,0.05,0.05,0.05,000,0.05
2015-05-14,0.05,0.05,0.05,0.05,000,0.05
2015-05-15,0.05,0.05,0.05,0.05,000,0.05
2015-05-18,0.05,0.05,0.05,0.05,000,0.05
2015-05-19,0.05,0.05,0.05,0.05,000,0.05
2015-05-20,0.05,0.05,0.05,0.05,000,0.05
2015-05-21,0.05,0.05,0.05,0.05,000,0.05
2015-05-22,0.05,0.05,0.05,0.05,000,0.05
2015-05-25,0.05,0.05,0.05,0.05,000,0.05
2015-05-26,0.05,0.05,0.05,0.05,300000,0.05
2015-05-27,0.05,0.05,0.05,0.05,000,0.05
2015-05-28,0.05,0.05,0.05,0.05,29000,0.05
2015-05-29,0.05,0.05,0.05,0.05,000,0.05
2015-06-01,0.05,0.05,0.05,0.05,000,0.05
2015-06-02,0.05,0.05,0.05,0.05,16100,0.05
2015-06-03,0.05,0.05,0.05,0.05,000,0.05
2015-06-04,0.05,0.05,0.05,0.05,200000,0.05
2015-06-05,0.05,0.05,0.05,0.05,000,0.05
2015-06-08,0.05,0.05,0.05,0.05,000,0.05
2015-06-09,0.05,0.05,0.05,0.05,300000,0.05
2015-06-10,0.05,0.05,0.05,0.05,100000,0.05
2015-06-11,0.05,0.05,0.05,0.05,000,0.05
2015-06-12,0.049,0.05,0.049,0.05,185000,0.05
2015-06-15,0.05,0.05,0.05,0.05,000,0.05
2015-06-16,0.05,0.05,0.05,0.05,50000,0.05
2015-06-17,0.05,0.05,0.05,0.05,100000,0.05
2015-06-18,0.05,0.05,0.05,0.05,000,0.05
2015-06-19,0.05,0.05,0.05,0.05,100000,0.05
2015-06-22,0.05,0.05,0.05,0.05,000,0.05
2015-06-23,0.05,0.05,0.05,0.05,000,0.05
2015-06-24,0.05,0.05,0.05,0.05,000,0.05
2015-06-25,0.05,0.05,0.05,0.05,000,0.05
2015-06-26,0.05,0.05,0.05,0.05,55000,0.05
2015-06-29,0.05,0.05,0.05,0.05,000,0.05
2015-06-30,0.05,0.05,0.05,0.05,50000,0.05
2015-07-01,0.053,0.053,0.053,0.053,25000,0.053
2015-07-02,0.053,0.053,0.053,0.053,000,0.053
2015-07-03,0.053,0.053,0.053,0.053,000,0.053
2015-07-06,0.053,0.053,0.053,0.053,000,0.053
2015-07-07,0.055,0.055,0.055,0.055,131000,0.055
2015-07-08,0.055,0.055,0.055,0.055,000,0.055
2015-07-09,0.055,0.055,0.055,0.055,000,0.055
2015-07-10,0.06,0.06,0.06,0.06,10000,0.06
2015-07-13,0.06,0.06,0.06,0.06,000,0.06
2015-07-14,0.065,0.065,0.065,0.065,40000,0.065
2015-07-15,0.065,0.065,0.065,0.065,000,0.065
2015-07-16,0.065,0.065,0.065,0.065,000,0.065
2015-07-17,0.061,0.061,0.06,0.06,30000,0.06
2015-07-20,0.06,0.06,0.06,0.06,000,0.06
2015-07-21,0.06,0.06,0.06,0.06,82500,0.06
2015-07-22,0.06,0.06,0.06,0.06,000,0.06
2015-07-23,0.06,0.06,0.06,0.06,000,0.06
2015-07-24,0.051,0.051,0.05,0.05,167500,0.05
2015-07-27,0.05,0.05,0.05,0.05,000,0.05
2015-07-28,0.05,0.05,0.05,0.05,000,0.05
2015-07-29,0.05,0.05,0.05,0.05,000,0.05
2015-07-30,0.05,0.05,0.05,0.05,000,0.05
2015-07-31,0.05,0.05,0.05,0.05,000,0.05
2015-08-03,0.05,0.05,0.05,0.05,000,0.05
2015-08-04,0.05,0.05,0.05,0.05,000,0.05
2015-08-05,0.05,0.05,0.05,0.05,000,0.05
2015-08-06,0.05,0.05,0.05,0.05,000,0.05
2015-08-07,0.05,0.05,0.05,0.05,000,0.05
2015-08-10,0.049,0.049,0.049,0.049,25000,0.049
2015-08-11,0.048,0.048,0.048,0.048,100000,0.048
2015-08-12,0.048,0.048,0.048,0.048,000,0.048
2015-08-13,0.048,0.048,0.048,0.048,000,0.048
2015-08-14,0.048,0.048,0.048,0.048,000,0.048
2015-08-17,0.048,0.05,0.048,0.05,60000,0.05
2015-08-18,0.05,0.05,0.05,0.05,000,0.05
2015-08-19,0.05,0.05,0.05,0.05,000,0.05
2015-08-20,0.048,0.048,0.048,0.048,5000,0.048
2015-08-24,0.048,0.048,0.048,0.048,000,0.048
2015-08-25,0.048,0.048,0.048,0.048,000,0.048
2015-08-26,0.048,0.048,0.048,0.048,000,0.048
2015-08-27,0.048,0.048,0.048,0.048,000,0.048
2015-08-28,0.048,0.048,0.048,0.048,000,0.048
2015-08-31,0.048,0.048,0.048,0.048,000,0.048
2015-09-01,0.048,0.048,0.048,0.048,000,0.048
2015-09-02,0.048,0.048,0.048,0.048,000,0.048
2015-09-03,0.048,0.048,0.048,0.048,000,0.048
2015-09-04,0.048,0.048,0.048,0.048,000,0.048
2015-09-07,0.048,0.048,0.048,0.048,000,0.048
2015-09-08,0.048,0.048,0.048,0.048,000,0.048
2015-09-09,0.048,0.048,0.048,0.048,000,0.048
2015-09-10,0.048,0.048,0.048,0.048,000,0.048
2015-09-11,0.048,0.048,0.048,0.048,000,0.048
2015-09-14,0.048,0.048,0.048,0.048,000,0.048
2015-09-15,0.048,0.048,0.048,0.048,000,0.048
2015-09-16,0.048,0.048,0.048,0.048,000,0.048
2015-09-17,0.048,0.048,0.048,0.048,000,0.048
2015-09-18,0.048,0.048,0.048,0.048,000,0.048
2015-09-21,0.048,0.048,0.048,0.048,000,0.048
2015-09-22,0.048,0.048,0.048,0.048,000,0.048
2015-09-23,0.048,0.048,0.048,0.048,000,0.048
2015-09-24,0.048,0.048,0.048,0.048,000,0.048
2015-09-25,0.048,0.048,0.048,0.048,000,0.048
2015-09-28,0.048,0.048,0.048,0.048,000,0.048
2015-09-29,0.04,0.04,0.04,0.04,155000,0.04
2015-09-30,0.04,0.04,0.04,0.04,000,0.04
2015-10-01,0.04,0.04,0.04,0.04,000,0.04
2015-10-02,0.04,0.04,0.04,0.04,000,0.04
2015-10-05,0.04,0.04,0.04,0.04,000,0.04
2015-10-06,0.045,0.045,0.045,0.045,35000,0.045
2015-10-07,0.045,0.045,0.045,0.045,000,0.045
2015-10-08,0.045,0.045,0.045,0.045,000,0.045
2015-10-09,0.045,0.045,0.045,0.045,000,0.045
2015-10-12,0.045,0.045,0.045,0.045,000,0.045
2015-10-13,0.045,0.045,0.045,0.045,000,0.045
2015-10-14,0.045,0.045,0.045,0.045,000,0.045
2015-10-15,0.045,0.045,0.045,0.045,000,0.045
2015-10-16,0.045,0.045,0.045,0.045,000,0.045
2015-10-19,0.045,0.045,0.045,0.045,000,0.045
2015-10-20,0.045,0.045,0.045,0.045,000,0.045
2015-10-21,0.045,0.045,0.045,0.045,000,0.045
2015-10-22,0.045,0.045,0.045,0.045,000,0.045
2015-10-23,0.045,0.045,0.045,0.045,000,0.045
2015-10-26,0.045,0.045,0.045,0.045,000,0.045
2015-10-27,0.045,0.045,0.045,0.045,000,0.045
2015-10-28,0.045,0.045,0.045,0.045,000,0.045
2015-10-29,0.045,0.045,0.045,0.045,000,0.045
2015-10-30,0.045,0.045,0.045,0.045,000,0.045
2015-11-02,0.045,0.045,0.045,0.045,000,0.045
2015-11-03,0.045,0.045,0.045,0.045,000,0.045
2015-11-04,0.045,0.045,0.045,0.045,000,0.045
2015-11-05,0.045,0.045,0.045,0.045,000,0.045
2015-11-06,0.045,0.045,0.045,0.045,10000,0.045
2015-11-09,0.04,0.04,0.035,0.04,221900,0.04
2015-11-10,0.038,0.038,0.035,0.035,50000,0.035
2015-11-11,0.035,0.035,0.035,0.035,000,0.035
2015-11-12,0.035,0.035,0.035,0.035,000,0.035
2015-11-13,0.035,0.035,0.035,0.035,000,0.035
2015-11-16,0.038,0.038,0.038,0.038,25000,0.038
2015-11-17,0.038,0.038,0.038,0.038,000,0.038
2015-11-18,0.038,0.038,0.038,0.038,000,0.038
2015-11-19,0.04,0.04,0.04,0.04,75000,0.04
2015-11-20,0.04,0.04,0.04,0.04,000,0.04
2015-11-23,0.04,0.04,0.04,0.04,000,0.04
2015-11-24,0.04,0.04,0.04,0.04,000,0.04
2015-11-25,0.045,0.045,0.041,0.041,80000,0.041
2015-11-26,0.041,0.041,0.04,0.04,50000,0.04
2015-11-27,0.04,0.04,0.04,0.04,000,0.04
2015-11-30,0.04,0.04,0.04,0.04,000,0.04
2015-12-01,0.04,0.04,0.04,0.04,000,0.04
2015-12-02,0.04,0.04,0.04,0.04,000,0.04
2015-12-03,0.04,0.04,0.04,0.04,000,0.04
2015-12-04,0.04,0.04,0.04,0.04,000,0.04
2015-12-07,0.04,0.04,0.04,0.04,000,0.04
2015-12-08,0.04,0.04,0.04,0.04,000,0.04
2015-12-09,0.04,0.04,0.04,0.04,000,0.04
2015-12-10,0.04,0.04,0.04,0.04,000,0.04
2015-12-11,0.04,0.04,0.04,0.04,000,0.04
2015-12-14,0.04,0.04,0.04,0.04,000,0.04
2015-12-15,0.04,0.04,0.04,0.04,000,0.04
2015-12-16,0.04,0.04,0.04,0.04,000,0.04
2015-12-17,0.04,0.04,0.04,0.04,000,0.04
2015-12-18,0.04,0.04,0.04,0.04,000,0.04
2015-12-21,0.04,0.04,0.04,0.04,000,0.04
2015-12-22,0.04,0.04,0.04,0.04,000,0.04
2015-12-23,0.04,0.04,0.04,0.04,000,0.04
2015-12-24,0.04,0.04,0.04,0.04,000,0.04
2015-12-25,0.04,0.04,0.04,0.04,000,0.04
2015-12-28,0.04,0.04,0.04,0.04,000,0.04
2015-12-29,0.04,0.04,0.04,0.04,000,0.04
2015-12-30,0.04,0.04,0.04,0.04,000,0.04
2015-12-31,0.04,0.04,0.04,0.04,000,0.04
2016-01-01,0.04,0.04,0.04,0.04,000,0.04
2016-01-04,0.04,0.04,0.04,0.04,000,0.04
2016-01-05,0.04,0.04,0.04,0.04,000,0.04
2016-01-06,0.04,0.04,0.04,0.04,000,0.04
2016-01-07,0.04,0.04,0.04,0.04,000,0.04
2016-01-08,0.04,0.04,0.04,0.04,000,0.04
2016-01-11,0.04,0.04,0.04,0.04,000,0.04
2016-01-12,0.04,0.04,0.04,0.04,000,0.04
2016-01-13,0.04,0.04,0.04,0.04,000,0.04
2016-01-14,0.04,0.04,0.04,0.04,000,0.04
2016-01-15,0.04,0.04,0.04,0.04,000,0.04
2016-01-18,0.04,0.04,0.04,0.04,000,0.04
2016-01-19,0.04,0.04,0.04,0.04,000,0.04
2016-01-20,0.04,0.04,0.04,0.04,000,0.04
2016-01-21,0.04,0.04,0.04,0.04,000,0.04
2016-01-22,0.04,0.04,0.04,0.04,000,0.04
2016-01-25,0.038,0.038,0.038,0.038,452400,0.038
2016-01-26,0.038,0.038,0.038,0.038,000,0.038
2016-01-27,0.038,0.038,0.038,0.038,000,0.038
2016-01-28,0.038,0.038,0.038,0.038,000,0.038
2016-01-29,0.038,0.038,0.038,0.038,000,0.038
2016-02-01,0.038,0.038,0.038,0.038,000,0.038
2016-02-02,0.04,0.04,0.04,0.04,43900,0.04
2016-02-03,0.042,0.042,0.042,0.042,40000,0.042
2016-02-04,0.042,0.046,0.042,0.046,824500,0.046
2016-02-05,0.045,0.045,0.045,0.045,200000,0.045
2016-02-08,0.045,0.045,0.045,0.045,000,0.045
2016-02-09,0.045,0.045,0.045,0.045,105000,0.045
2016-02-10,0.045,0.047,0.045,0.047,235500,0.047
2016-02-11,0.047,0.047,0.047,0.047,235000,0.047
2016-02-12,0.047,0.047,0.047,0.047,445000,0.047
2016-02-15,0.047,0.047,0.047,0.047,50000,0.047
2016-02-16,0.047,0.047,0.047,0.047,000,0.047
2016-02-17,0.047,0.047,0.047,0.047,34000,0.047
2016-02-18,0.047,0.047,0.047,0.047,489300,0.047
2016-02-19,0.047,0.047,0.043,0.043,190600,0.043
2016-02-22,0.043,0.043,0.043,0.043,000,0.043
2016-02-23,0.043,0.043,0.043,0.043,000,0.043
2016-02-24,0.043,0.043,0.043,0.043,135000,0.043
2016-02-25,0.043,0.043,0.043,0.043,000,0.043
2016-02-26,0.043,0.043,0.043,0.043,000,0.043
2016-02-29,0.043,0.043,0.043,0.043,000,0.043
2016-03-01,0.053,0.09,0.053,0.09,2500800,0.09
2016-03-02,0.096,0.10,0.084,0.084,3580100,0.084
2016-03-03,0.083,0.083,0.078,0.083,562000,0.083
2016-03-04,0.083,0.085,0.083,0.085,248800,0.085
2016-03-07,0.085,0.085,0.085,0.085,000,0.085
2016-03-08,0.085,0.085,0.085,0.085,000,0.085
2016-03-09,0.092,0.094,0.09,0.092,590300,0.092
2016-03-10,0.096,0.12,0.096,0.11,941800,0.11
2016-03-11,0.115,0.13,0.115,0.115,955400,0.115
2016-03-14,0.115,0.115,0.10,0.10,654800,0.10
2016-03-15,0.10,0.10,0.10,0.10,229600,0.10
2016-03-16,0.10,0.10,0.10,0.10,79900,0.10
2016-03-17,0.115,0.12,0.115,0.12,78700,0.12
2016-03-18,0.12,0.12,0.115,0.115,114300,0.115
2016-03-21,0.115,0.115,0.097,0.10,436200,0.10
2016-03-22,0.099,0.10,0.099,0.10,324300,0.10
2016-03-23,0.10,0.10,0.10,0.10,52700,0.10
2016-03-24,0.10,0.10,0.10,0.10,000,0.10
2016-03-25,0.10,0.10,0.10,0.10,000,0.10
2016-03-28,0.10,0.10,0.10,0.10,000,0.10
2016-03-29,0.096,0.096,0.092,0.092,250000,0.092
2016-03-30,0.095,0.095,0.089,0.089,133600,0.089
2016-03-31,0.089,0.089,0.089,0.089,26600,0.089
2016-04-01,0.09,0.095,0.09,0.095,27500,0.095
2016-04-04,0.097,0.099,0.097,0.099,37000,0.099
2016-04-05,0.092,0.095,0.092,0.095,39000,0.095
2016-04-06,0.092,0.092,0.088,0.088,383700,0.088
2016-04-07,0.088,0.088,0.088,0.088,000,0.088
2016-04-08,0.09,0.099,0.09,0.099,450800,0.099
2016-04-11,0.10,0.10,0.096,0.096,250000,0.096
2016-04-12,0.10,0.10,0.085,0.10,282800,0.10
2016-04-13,0.105,0.105,0.105,0.105,100000,0.105
2016-04-14,0.105,0.105,0.095,0.095,115000,0.095
2016-04-15,0.095,0.095,0.095,0.095,50000,0.095


2016-04-18,0.10,0.10,0.095,0.095,29900,0.095
2016-04-19,0.095,0.095,0.095,0.095,000,0.095
2016-04-20,0.095,0.095,0.093,0.093,275500,0.093
2016-04-21,0.093,0.093,0.093,0.093,000,0.093
2016-04-22,0.093,0.093,0.093,0.093,000,0.093


2016-04-25,0.093,0.093,0.093,0.093,000,0.093
2016-04-26,0.094,0.095,0.092,0.095,115200,0.095
2016-04-27,0.095,0.095,0.095,0.095,000,0.095
2016-04-28,0.095,0.095,0.095,0.095,10000,0.095
2016-04-29,0.092,0.095,0.09,0.095,254200,0.095


2016-05-02,0.09,0.09,0.089,0.089,140400,0.089
2016-05-03,0.09,0.09,0.09,0.09,388000,0.09
2016-05-04,0.09,0.09,0.09,0.09,100000,0.09
2016-05-05,0.09,0.09,0.09,0.09,9000,0.09
2016-05-06,0.09,0.09,0.089,0.089,30000,0.089


2016-05-09,0.092,0.092,0.092,0.092,100000,0.092
2016-05-10,0.092,0.092,0.092,0.092,30000,0.092
2016-05-11,0.10,0.10,0.10,0.10,181000,0.10
2016-05-12,0.105,0.105,0.09,0.105,107000,0.105
2016-05-13,0.115,0.13,0.115,0.13,73000,0.13


2016-05-16,0.13,0.15,0.13,0.145,201000,0.145
2016-05-17,0.145,0.145,0.145,0.145,000,0.145
2016-05-18,0.13,0.13,0.12,0.12,159700,0.12
2016-05-19,0.115,0.115,0.105,0.11,376400,0.11
2016-05-20,0.11,0.11,0.105,0.11,36000,0.11


2016-05-23,0.115,0.12,0.115,0.12,112200,0.12
2016-05-24,0.12,0.12,0.12,0.12,000,0.12
2016-05-25,0.11,0.11,0.094,0.097,543200,0.097
2016-05-26,0.099,0.10,0.098,0.10,488000,0.10
2016-05-27,0.098,0.098,0.092,0.096,75000,0.096


2016-05-30,0.096,0.096,0.095,0.095,328000,0.095
2016-05-31,0.093,0.095,0.092,0.092,426900,0.092
2016-06-01,0.098,0.11,0.09,0.097,1165000,0.097
2016-06-02,0.115,0.125,0.115,0.12,1058800,0.12
2016-06-03,0.125,0.14,0.125,0.125,595700,0.125


2016-06-06,0.13,0.13,0.125,0.125,62000,0.125
2016-06-07,0.13,0.14,0.125,0.14,252700,0.14
2016-06-08,0.16,0.175,0.155,0.175,1675300,0.175
2016-06-09,0.175,0.175,0.15,0.15,1856400,0.15
2016-06-10,0.155,0.155,0.145,0.15,662700,0.15


2016-06-13,0.15,0.15,0.15,0.15,000,0.15
2016-06-14,0.17,0.18,0.16,0.165,761000,0.165
