Date,Open,High,Low,Close,Volume,Adj Close
2015-04-01,0.16,0.16,0.16,0.16,000,0.16
2015-04-02,0.16,0.16,0.16,0.16,000,0.16
2015-04-03,0.16,0.16,0.16,0.16,000,0.16
2015-04-06,0.16,0.16,0.16,0.16,000,0.16
2015-04-07,0.16,0.16,0.16,0.16,000,0.16
2015-04-08,0.16,0.16,0.16,0.16,000,0.16
2015-04-09,0.16,0.16,0.16,0.16,000,0.16
2015-04-10,0.16,0.16,0.16,0.16,000,0.16
2015-04-13,0.16,0.16,0.16,0.16,000,0.16
2015-04-14,0.16,0.16,0.16,0.16,000,0.16
2015-04-15,0.16,0.16,0.16,0.16,000,0.16
2015-04-16,0.16,0.16,0.16,0.16,000,0.16
2015-04-17,0.16,0.16,0.16,0.16,000,0.16
2015-04-20,0.16,0.16,0.16,0.16,000,0.16
2015-04-21,0.16,0.16,0.16,0.16,000,0.16
2015-04-22,0.16,0.16,0.16,0.16,000,0.16
2015-04-23,0.16,0.16,0.16,0.16,000,0.16
2015-04-24,0.16,0.16,0.16,0.16,000,0.16
2015-04-27,0.16,0.16,0.16,0.16,000,0.16
2015-04-28,0.16,0.16,0.16,0.16,000,0.16
2015-04-29,0.16,0.16,0.16,0.16,000,0.16
2015-04-30,0.16,0.16,0.16,0.16,000,0.16
2015-05-01,0.16,0.16,0.16,0.16,000,0.16
2015-05-04,0.16,0.16,0.16,0.16,000,0.16
2015-05-05,0.16,0.16,0.16,0.16,000,0.16
2015-05-06,0.16,0.16,0.16,0.16,000,0.16
2015-05-07,0.16,0.16,0.16,0.16,000,0.16
2015-05-08,0.16,0.16,0.16,0.16,000,0.16
2015-05-11,0.16,0.16,0.16,0.16,000,0.16
2015-05-12,0.16,0.16,0.16,0.16,000,0.16
2015-05-13,0.16,0.16,0.16,0.16,000,0.16
2015-05-14,0.16,0.16,0.16,0.16,000,0.16
2015-05-15,0.16,0.16,0.16,0.16,000,0.16
2015-05-18,0.16,0.16,0.16,0.16,000,0.16
2015-05-19,0.16,0.16,0.16,0.16,000,0.16
2015-05-20,0.16,0.16,0.16,0.16,000,0.16
2015-05-21,0.16,0.16,0.16,0.16,000,0.16
2015-05-22,0.16,0.16,0.16,0.16,000,0.16
2015-05-25,0.16,0.16,0.16,0.16,000,0.16
2015-05-26,0.16,0.16,0.16,0.16,000,0.16
2015-05-27,0.16,0.16,0.16,0.16,000,0.16
2015-05-28,0.16,0.16,0.16,0.16,000,0.16
2015-05-29,0.16,0.16,0.16,0.16,000,0.16
2015-06-01,0.16,0.16,0.16,0.16,000,0.16
2015-06-02,0.16,0.16,0.16,0.16,000,0.16
2015-06-03,0.16,0.16,0.16,0.16,000,0.16
2015-06-04,0.16,0.16,0.16,0.16,000,0.16
2015-06-05,0.16,0.16,0.16,0.16,000,0.16
2015-06-08,0.16,0.16,0.16,0.16,000,0.16
2015-06-09,0.16,0.16,0.16,0.16,000,0.16
2015-06-10,0.16,0.16,0.16,0.16,000,0.16
2015-06-11,0.16,0.16,0.16,0.16,000,0.16
2015-06-12,0.16,0.16,0.16,0.16,000,0.16
2015-06-15,0.16,0.16,0.16,0.16,000,0.16
2015-06-16,0.16,0.16,0.16,0.16,000,0.16
2015-06-17,0.16,0.16,0.16,0.16,000,0.16
2015-06-18,0.16,0.16,0.16,0.16,000,0.16
2015-06-19,0.16,0.16,0.16,0.16,000,0.16
2015-06-22,0.16,0.16,0.16,0.16,000,0.16
2015-06-23,0.16,0.16,0.16,0.16,000,0.16
2015-06-24,0.16,0.16,0.16,0.16,000,0.16
2015-06-25,0.16,0.16,0.16,0.16,000,0.16
2015-06-26,0.16,0.16,0.16,0.16,000,0.16
2015-06-29,0.16,0.16,0.16,0.16,000,0.16
2015-06-30,0.16,0.16,0.16,0.16,000,0.16
2015-07-01,0.16,0.16,0.16,0.16,000,0.16
2015-07-02,0.16,0.16,0.16,0.16,000,0.16
2015-07-03,0.16,0.16,0.16,0.16,000,0.16
2015-07-06,0.16,0.16,0.16,0.16,000,0.16
2015-07-07,0.16,0.16,0.16,0.16,000,0.16
2015-07-08,0.16,0.16,0.16,0.16,000,0.16
2015-07-09,0.16,0.16,0.16,0.16,000,0.16
2015-07-10,0.16,0.16,0.16,0.16,000,0.16
2015-07-13,0.16,0.16,0.16,0.16,000,0.16
2015-07-14,0.16,0.16,0.16,0.16,000,0.16
2015-07-15,0.16,0.16,0.16,0.16,000,0.16
2015-07-16,0.16,0.16,0.16,0.16,000,0.16
2015-07-17,0.16,0.16,0.16,0.16,000,0.16
2015-07-20,0.16,0.16,0.16,0.16,000,0.16
2015-07-21,0.16,0.16,0.16,0.16,000,0.16
2015-07-22,0.16,0.16,0.16,0.16,000,0.16
2015-07-23,0.16,0.16,0.16,0.16,000,0.16
2015-07-24,0.16,0.16,0.16,0.16,000,0.16
2015-07-27,0.16,0.16,0.16,0.16,000,0.16
2015-07-28,0.16,0.16,0.16,0.16,000,0.16
2015-07-29,0.16,0.16,0.16,0.16,000,0.16
2015-07-30,0.16,0.16,0.16,0.16,000,0.16
2015-07-31,0.16,0.16,0.16,0.16,000,0.16
2015-08-03,0.16,0.16,0.16,0.16,000,0.16
2015-08-04,0.16,0.16,0.16,0.16,000,0.16
2015-08-05,0.16,0.16,0.16,0.16,000,0.16
2015-08-06,0.16,0.16,0.16,0.16,000,0.16
2015-08-07,0.16,0.16,0.16,0.16,000,0.16
2015-08-10,0.16,0.16,0.16,0.16,000,0.16
2015-08-11,0.16,0.16,0.16,0.16,000,0.16
2015-08-12,0.16,0.16,0.16,0.16,000,0.16
2015-08-13,0.16,0.16,0.16,0.16,000,0.16
2015-08-14,0.16,0.16,0.16,0.16,000,0.16
2015-08-17,0.16,0.16,0.16,0.16,000,0.16
2015-08-18,0.16,0.16,0.16,0.16,000,0.16
2015-08-19,0.16,0.16,0.16,0.16,000,0.16
2015-08-20,0.16,0.16,0.16,0.16,000,0.16
2015-08-24,0.16,0.16,0.16,0.16,000,0.16
2015-08-25,0.16,0.16,0.16,0.16,000,0.16
2015-08-26,0.16,0.16,0.16,0.16,000,0.16
2015-08-27,0.16,0.16,0.16,0.16,000,0.16
2015-08-28,0.16,0.16,0.16,0.16,000,0.16
2015-08-31,0.16,0.16,0.16,0.16,000,0.16
2015-09-01,0.16,0.16,0.16,0.16,000,0.16
2015-09-02,0.16,0.16,0.16,0.16,000,0.16
2015-09-03,0.16,0.16,0.16,0.16,000,0.16
2015-09-04,0.16,0.16,0.16,0.16,000,0.16
2015-09-07,0.16,0.16,0.16,0.16,000,0.16
2015-09-08,0.16,0.16,0.16,0.16,000,0.16
2015-09-09,0.16,0.16,0.16,0.16,000,0.16
2015-09-10,0.16,0.16,0.16,0.16,000,0.16
2015-09-11,0.16,0.16,0.16,0.16,000,0.16
2015-09-14,0.16,0.16,0.16,0.16,000,0.16
2015-09-15,0.16,0.16,0.16,0.16,000,0.16
2015-09-16,0.16,0.16,0.16,0.16,000,0.16
2015-09-17,0.16,0.16,0.16,0.16,000,0.16
2015-09-18,0.16,0.16,0.16,0.16,000,0.16
2015-09-21,0.16,0.16,0.16,0.16,000,0.16
2015-09-22,0.16,0.16,0.16,0.16,000,0.16
2015-09-23,0.16,0.16,0.16,0.16,000,0.16
2015-09-24,0.16,0.16,0.16,0.16,000,0.16
2015-09-25,0.16,0.16,0.16,0.16,000,0.16
2015-09-28,0.16,0.16,0.16,0.16,000,0.16
2015-09-29,0.16,0.16,0.16,0.16,000,0.16
2015-09-30,0.16,0.16,0.16,0.16,000,0.16
2015-10-01,0.16,0.16,0.16,0.16,000,0.16
2015-10-02,0.16,0.16,0.16,0.16,000,0.16
2015-10-05,0.16,0.16,0.16,0.16,000,0.16
2015-10-06,0.16,0.16,0.16,0.16,000,0.16
2015-10-07,0.16,0.16,0.16,0.16,000,0.16
2015-10-08,0.16,0.16,0.16,0.16,000,0.16
2015-10-09,0.16,0.16,0.16,0.16,000,0.16
2015-10-12,0.16,0.16,0.16,0.16,000,0.16
2015-10-13,0.16,0.16,0.16,0.16,000,0.16
2015-10-14,0.16,0.16,0.16,0.16,000,0.16
2015-10-15,0.16,0.16,0.16,0.16,000,0.16
2015-10-16,0.16,0.16,0.16,0.16,000,0.16
2015-10-19,0.16,0.16,0.16,0.16,000,0.16
2015-10-20,0.16,0.16,0.16,0.16,000,0.16
2015-10-21,0.16,0.16,0.16,0.16,000,0.16
2015-10-22,0.16,0.16,0.16,0.16,000,0.16
2015-10-23,0.16,0.16,0.16,0.16,000,0.16
2015-10-26,0.16,0.16,0.16,0.16,000,0.16
2015-10-27,0.16,0.16,0.16,0.16,000,0.16
2015-10-28,0.16,0.16,0.16,0.16,000,0.16
2015-10-29,0.16,0.16,0.16,0.16,000,0.16
2015-10-30,0.16,0.16,0.16,0.16,000,0.16
2015-11-02,0.16,0.16,0.16,0.16,000,0.16
2015-11-03,0.16,0.16,0.16,0.16,000,0.16
2015-11-04,0.16,0.16,0.16,0.16,000,0.16
2015-11-05,0.16,0.16,0.16,0.16,000,0.16
2015-11-06,0.16,0.16,0.16,0.16,000,0.16
2015-11-09,0.16,0.16,0.16,0.16,000,0.16
2015-11-10,0.16,0.16,0.16,0.16,000,0.16
2015-11-11,0.16,0.16,0.16,0.16,000,0.16
2015-11-12,0.16,0.16,0.16,0.16,000,0.16
2015-11-13,0.16,0.16,0.16,0.16,000,0.16
2015-11-16,0.16,0.16,0.16,0.16,000,0.16
2015-11-17,0.16,0.16,0.16,0.16,000,0.16
2015-11-18,0.16,0.16,0.16,0.16,000,0.16
2015-11-19,0.16,0.16,0.16,0.16,000,0.16
2015-11-20,0.16,0.16,0.16,0.16,000,0.16
2015-11-23,0.16,0.16,0.16,0.16,000,0.16
2015-11-24,0.16,0.16,0.16,0.16,000,0.16
2015-11-25,0.16,0.16,0.16,0.16,000,0.16
2015-11-26,0.16,0.16,0.16,0.16,000,0.16
2015-11-27,0.16,0.16,0.16,0.16,000,0.16
2015-11-30,0.16,0.16,0.16,0.16,000,0.16
2015-12-01,0.16,0.16,0.16,0.16,000,0.16
2015-12-02,0.16,0.16,0.16,0.16,000,0.16
2015-12-03,0.16,0.16,0.16,0.16,000,0.16
2015-12-04,0.16,0.16,0.16,0.16,000,0.16
2015-12-07,0.16,0.16,0.16,0.16,000,0.16
2015-12-08,0.16,0.16,0.16,0.16,000,0.16
2015-12-09,0.16,0.16,0.16,0.16,000,0.16
2015-12-10,0.16,0.16,0.16,0.16,000,0.16
2015-12-11,0.16,0.16,0.16,0.16,000,0.16
2015-12-14,0.16,0.16,0.16,0.16,000,0.16
2015-12-15,0.16,0.16,0.16,0.16,000,0.16
2015-12-16,0.16,0.16,0.16,0.16,000,0.16
2015-12-17,0.16,0.16,0.16,0.16,000,0.16
2015-12-18,0.16,0.16,0.16,0.16,000,0.16
2015-12-21,0.16,0.16,0.16,0.16,000,0.16
2015-12-22,0.16,0.16,0.16,0.16,000,0.16
2015-12-23,0.16,0.16,0.16,0.16,000,0.16
2015-12-24,0.16,0.16,0.16,0.16,000,0.16
2015-12-25,0.16,0.16,0.16,0.16,000,0.16
2015-12-28,0.16,0.16,0.16,0.16,000,0.16
2015-12-29,0.16,0.16,0.16,0.16,000,0.16
2015-12-30,0.16,0.16,0.16,0.16,000,0.16
2015-12-31,0.16,0.16,0.16,0.16,000,0.16
2016-01-01,0.16,0.16,0.16,0.16,000,0.16
2016-01-04,0.16,0.16,0.16,0.16,000,0.16
2016-01-05,0.16,0.16,0.16,0.16,000,0.16
2016-01-06,0.16,0.16,0.16,0.16,000,0.16
2016-01-07,0.16,0.16,0.16,0.16,000,0.16
2016-01-08,0.16,0.16,0.16,0.16,000,0.16
2016-01-11,0.16,0.16,0.16,0.16,000,0.16
2016-01-12,0.07,0.08,0.065,0.08,5392600,0.08
2016-01-13,0.08,0.081,0.075,0.081,979800,0.081
2016-01-14,0.078,0.081,0.077,0.081,181200,0.081
2016-01-15,0.08,0.089,0.08,0.085,414300,0.085
2016-01-18,0.086,0.087,0.08,0.087,549100,0.087
2016-01-19,0.09,0.096,0.09,0.093,846600,0.093
2016-01-20,0.097,0.115,0.097,0.10,851500,0.10
2016-01-21,0.11,0.12,0.11,0.12,585100,0.12
2016-01-22,0.12,0.135,0.12,0.125,274800,0.125
2016-01-25,0.13,0.13,0.096,0.096,347400,0.096
2016-01-26,0.096,0.096,0.096,0.096,000,0.096
2016-01-27,0.096,0.096,0.094,0.095,536800,0.095
2016-01-28,0.095,0.095,0.095,0.095,540000,0.095
2016-01-29,0.094,0.095,0.091,0.091,240000,0.091
2016-02-01,0.091,0.095,0.091,0.095,355000,0.095
2016-02-02,0.095,0.095,0.09,0.09,252900,0.09
2016-02-03,0.09,0.09,0.088,0.088,460000,0.088
2016-02-04,0.092,0.094,0.092,0.094,107800,0.094
2016-02-05,0.105,0.105,0.098,0.10,370000,0.10
2016-02-08,0.10,0.105,0.099,0.105,315500,0.105
2016-02-09,0.098,0.098,0.097,0.097,219400,0.097
2016-02-10,0.098,0.13,0.098,0.13,478800,0.13
2016-02-11,0.15,0.15,0.14,0.14,694700,0.14
2016-02-12,0.14,0.14,0.14,0.14,000,0.14
2016-02-15,0.14,0.15,0.13,0.13,935600,0.13
2016-02-16,0.125,0.125,0.115,0.115,191000,0.115
2016-02-17,0.105,0.115,0.10,0.105,1460400,0.105
2016-02-18,0.10,0.105,0.10,0.10,1365000,0.10
2016-02-19,0.105,0.105,0.098,0.098,202800,0.098
2016-02-22,0.10,0.11,0.10,0.11,457500,0.11
2016-02-23,0.11,0.11,0.105,0.11,259300,0.11
2016-02-24,0.11,0.11,0.11,0.11,102500,0.11
2016-02-25,0.11,0.11,0.11,0.11,000,0.11
2016-02-26,0.105,0.11,0.105,0.11,255400,0.11
2016-02-29,0.12,0.14,0.12,0.12,525600,0.12
2016-03-01,0.125,0.125,0.11,0.11,55700,0.11
2016-03-02,0.12,0.125,0.11,0.11,179800,0.11
2016-03-03,0.11,0.11,0.095,0.10,634700,0.10
2016-03-04,0.10,0.10,0.09,0.095,1053500,0.095
2016-03-07,0.10,0.12,0.10,0.12,208800,0.12
2016-03-08,0.12,0.125,0.11,0.11,554200,0.11
2016-03-09,0.11,0.11,0.10,0.11,322600,0.11
2016-03-10,0.10,0.10,0.10,0.10,21000,0.10
2016-03-11,0.10,0.10,0.10,0.10,574000,0.10
2016-03-14,0.10,0.10,0.10,0.10,776500,0.10
2016-03-15,0.10,0.11,0.10,0.11,1155100,0.11
2016-03-16,0.12,0.14,0.12,0.135,494000,0.135
2016-03-17,0.135,0.15,0.13,0.15,854000,0.15
2016-03-18,0.15,0.15,0.147,0.15,857100,0.15
2016-03-21,0.15,0.15,0.135,0.135,181200,0.135
2016-03-22,0.135,0.15,0.135,0.145,393000,0.145
2016-03-23,0.15,0.15,0.14,0.14,362600,0.14
2016-03-24,0.14,0.155,0.14,0.15,733800,0.15
2016-03-25,0.15,0.15,0.15,0.15,000,0.15
2016-03-28,0.15,0.15,0.15,0.15,000,0.15
2016-03-29,0.155,0.155,0.145,0.15,321100,0.15
2016-03-30,0.155,0.155,0.155,0.155,200000,0.155
2016-03-31,0.155,0.155,0.155,0.155,20000,0.155
2016-04-01,0.16,0.17,0.16,0.17,1122000,0.17
2016-04-04,0.175,0.18,0.17,0.18,1062700,0.18
2016-04-05,0.18,0.18,0.17,0.17,73800,0.17
2016-04-06,0.17,0.17,0.155,0.17,203500,0.17
2016-04-07,0.165,0.165,0.165,0.165,2900,0.165
2016-04-08,0.16,0.16,0.155,0.16,45200,0.16
2016-04-11,0.155,0.16,0.15,0.16,215700,0.16
2016-04-12,0.15,0.15,0.145,0.145,49300,0.145
2016-04-13,0.15,0.15,0.145,0.145,240000,0.145
2016-04-14,0.145,0.15,0.145,0.145,60200,0.145
2016-04-15,0.15,0.15,0.15,0.15,126500,0.15


2016-04-18,0.15,0.16,0.15,0.16,75000,0.16
2016-04-19,0.16,0.175,0.16,0.175,461500,0.175
2016-04-20,0.17,0.17,0.165,0.165,219400,0.165
2016-04-21,0.165,0.165,0.155,0.155,219000,0.155
2016-04-22,0.165,0.17,0.165,0.165,395500,0.165


2016-04-25,0.165,0.165,0.165,0.165,000,0.165
2016-04-26,0.16,0.165,0.155,0.165,81600,0.165
2016-04-27,0.165,0.165,0.15,0.155,223000,0.155
2016-04-28,0.155,0.155,0.15,0.15,118700,0.15
2016-04-29,0.15,0.16,0.15,0.16,200800,0.16


2016-05-02,0.16,0.16,0.15,0.16,237900,0.16
2016-05-03,0.155,0.155,0.155,0.155,73700,0.155
2016-05-04,0.15,0.15,0.15,0.15,4500,0.15
2016-05-05,0.14,0.14,0.14,0.14,98000,0.14
2016-05-06,0.14,0.145,0.14,0.145,3400,0.145


2016-05-09,0.145,0.145,0.145,0.145,4000,0.145
2016-05-10,0.145,0.145,0.145,0.145,000,0.145
2016-05-11,0.145,0.145,0.145,0.145,000,0.145
2016-05-12,0.14,0.16,0.14,0.16,249300,0.16
2016-05-13,0.16,0.18,0.16,0.18,1426600,0.18


2016-05-16,0.18,0.19,0.165,0.165,657200,0.165
2016-05-17,0.165,0.175,0.165,0.175,84300,0.175
2016-05-18,0.175,0.20,0.175,0.19,1167700,0.19
2016-05-19,0.195,0.195,0.185,0.185,549600,0.185
2016-05-20,0.19,0.19,0.175,0.175,460300,0.175


2016-05-23,0.18,0.185,0.175,0.18,142500,0.18
2016-05-24,0.18,0.185,0.18,0.18,97200,0.18
2016-05-25,0.175,0.19,0.175,0.19,153800,0.19
2016-05-26,0.19,0.205,0.19,0.20,1293000,0.20
2016-05-27,0.205,0.205,0.19,0.20,544100,0.20


2016-05-30,0.20,0.215,0.20,0.205,578100,0.205
2016-05-31,0.20,0.21,0.20,0.20,280400,0.20
2016-06-01,0.20,0.20,0.195,0.195,63500,0.195
2016-06-02,0.195,0.195,0.195,0.195,000,0.195
2016-06-03,0.195,0.195,0.195,0.195,000,0.195


2016-06-06,0.195,0.195,0.195,0.195,000,0.195
2016-06-07,0.195,0.195,0.195,0.195,000,0.195
2016-06-08,0.195,0.195,0.195,0.195,000,0.195
2016-06-09,0.195,0.195,0.195,0.195,000,0.195
2016-06-10,0.195,0.195,0.195,0.195,000,0.195


2016-06-13,0.195,0.195,0.195,0.195,000,0.195
2016-06-14,0.195,0.195,0.195,0.195,000,0.195
