Date,Open,High,Low,Close,Volume,Adj Close
2015-02-11,0.01469,0.01469,0.01469,0.01469,435500,0.01469
2015-02-12,0.01469,0.01469,0.01469,0.01469,653300,0.01469
2015-02-13,0.01469,0.01745,0.01469,0.01745,2554800,0.01745
2015-02-16,0.01745,0.01745,0.01469,0.01469,3097700,0.01469
2015-02-17,0.01469,0.01745,0.01469,0.01653,1688600,0.01653
2015-02-18,0.01653,0.01745,0.01653,0.01745,1307900,0.01745
2015-02-19,0.01745,0.01745,0.01745,0.01745,735800,0.01745
2015-02-20,0.01837,0.0202,0.01837,0.01837,1324000,0.01837
2015-02-23,0.01837,0.0202,0.01837,0.01837,2231000,0.01837
2015-02-24,0.01837,0.01929,0.01837,0.01929,1098700,0.01929
2015-02-25,0.01837,0.01837,0.01745,0.01745,326600,0.01745
2015-02-26,0.01745,0.01745,0.01745,0.01745,000,0.01745
2015-02-27,0.01653,0.01653,0.01653,0.01653,1095600,0.01653
2015-03-02,0.01653,0.01653,0.01653,0.01653,000,0.01653
2015-03-03,0.01653,0.01653,0.01653,0.01653,328400,0.01653
2015-03-04,0.01653,0.01653,0.01653,0.01653,53800,0.01653
2015-03-05,0.01653,0.01653,0.01653,0.01653,000,0.01653
2015-03-06,0.01653,0.01653,0.01653,0.01653,1105200,0.01653
2015-03-09,0.01653,0.01653,0.01653,0.01653,000,0.01653
2015-03-10,0.01653,0.01653,0.01653,0.01653,10600,0.01653
2015-03-11,0.01653,0.01653,0.01653,0.01653,000,0.01653
2015-03-12,0.01653,0.01653,0.01653,0.01653,000,0.01653
2015-03-13,0.01653,0.01653,0.01653,0.01653,953800,0.01653
2015-03-16,0.01653,0.01653,0.01653,0.01653,217700,0.01653
2015-03-17,0.01745,0.01745,0.01653,0.01653,994000,0.01653
2015-03-18,0.01653,0.01653,0.01653,0.01653,000,0.01653
2015-03-19,0.01561,0.01561,0.01561,0.01561,437200,0.01561
2015-03-20,0.01561,0.01561,0.01561,0.01561,1088800,0.01561
2015-03-23,0.01653,0.01745,0.01653,0.01745,4464300,0.01745
2015-03-24,0.01745,0.01745,0.01745,0.01745,81600,0.01745
2015-03-25,0.01745,0.01745,0.01745,0.01745,272200,0.01745
2015-03-26,0.01745,0.01745,0.01745,0.01745,000,0.01745
2015-03-27,0.01745,0.01745,0.01745,0.01745,96000,0.01745
2015-03-30,0.01745,0.01837,0.01745,0.01837,870800,0.01837
2015-03-31,0.01837,0.01837,0.01837,0.01837,159800,0.01837
2015-04-01,0.01837,0.01837,0.01837,0.01837,558700,0.01837
2015-04-02,0.01745,0.01745,0.01745,0.01745,533600,0.01745
2015-04-03,0.01745,0.01745,0.01745,0.01745,000,0.01745
2015-04-06,0.01745,0.01745,0.01745,0.01745,000,0.01745
2015-04-07,0.01745,0.01745,0.01745,0.01745,53100,0.01745
2015-04-08,0.01745,0.01745,0.01745,0.01745,000,0.01745
2015-04-09,0.01653,0.01745,0.01653,0.01745,1285800,0.01745
2015-04-10,0.01745,0.01837,0.01745,0.01837,567300,0.01837
2015-04-13,0.01837,0.01837,0.01837,0.01837,000,0.01837
2015-04-14,0.01929,0.0202,0.01929,0.0202,981000,0.0202
2015-04-15,0.0202,0.0202,0.0202,0.0202,544400,0.0202
2015-04-16,0.0202,0.0202,0.0202,0.0202,000,0.0202
2015-04-17,0.0202,0.0202,0.0202,0.0202,515700,0.0202
2015-04-20,0.0202,0.02112,0.0202,0.02112,440400,0.02112
2015-04-21,0.02204,0.02204,0.02112,0.02112,322800,0.02112
2015-04-22,0.0202,0.0202,0.01837,0.01837,1878300,0.01837
2015-04-23,0.01837,0.01837,0.01837,0.01837,000,0.01837
2015-04-24,0.01837,0.01837,0.01837,0.01837,1575500,0.01837
2015-04-27,0.01929,0.01929,0.01929,0.01929,435500,0.01929
2015-04-28,0.0202,0.0202,0.0202,0.0202,54400,0.0202
2015-04-29,0.01929,0.01929,0.01929,0.01929,540200,0.01929
2015-04-30,0.01837,0.01837,0.01837,0.01837,586900,0.01837
2015-05-01,0.01929,0.01929,0.01929,0.01929,134800,0.01929
2015-05-04,0.01929,0.01929,0.01929,0.01929,000,0.01929
2015-05-05,0.01929,0.01929,0.01929,0.01929,42200,0.01929
2015-05-06,0.0202,0.02112,0.0202,0.02112,816600,0.02112
2015-05-07,0.02112,0.02204,0.0202,0.0202,466700,0.0202
2015-05-08,0.02112,0.02112,0.02112,0.02112,456400,0.02112
2015-05-11,0.02112,0.02296,0.01837,0.01837,4703100,0.01837
2015-05-12,0.01837,0.01837,0.01837,0.01837,21700,0.01837
2015-05-13,0.01837,0.01837,0.01837,0.01837,52200,0.01837
2015-05-14,0.01837,0.01837,0.01837,0.01837,108800,0.01837
2015-05-15,0.0202,0.0202,0.0202,0.0202,185100,0.0202
2015-05-18,0.0202,0.0202,0.01745,0.01745,494200,0.01745
2015-05-19,0.01745,0.01745,0.01745,0.01745,281200,0.01745
2015-05-20,0.01745,0.01745,0.01745,0.01745,841600,0.01745
2015-05-21,0.01745,0.01745,0.01745,0.01745,000,0.01745
2015-05-22,0.01745,0.01745,0.01561,0.01745,2370300,0.01745
2015-05-25,0.01561,0.01745,0.01561,0.01745,223900,0.01745
2015-05-26,0.01561,0.01561,0.01561,0.01561,1410700,0.01561
2015-05-27,0.01561,0.01561,0.01561,0.01561,000,0.01561
2015-05-28,0.01745,0.01837,0.01653,0.01653,472000,0.01653
2015-05-29,0.01653,0.01653,0.01561,0.01561,312500,0.01561
2015-06-01,0.01561,0.01561,0.01469,0.01469,582700,0.01469
2015-06-02,0.01561,0.01561,0.01561,0.01561,123700,0.01561
2015-06-03,0.01561,0.01561,0.01561,0.01561,000,0.01561
2015-06-04,0.01653,0.01837,0.01653,0.01837,1765100,0.01837
2015-06-05,0.01745,0.01837,0.01745,0.01837,647800,0.01837
2015-06-08,0.01837,0.01837,0.01837,0.01837,000,0.01837
2015-06-09,0.01745,0.01837,0.01745,0.01837,588200,0.01837
2015-06-10,0.01745,0.01745,0.01745,0.01745,381100,0.01745
2015-06-11,0.01745,0.01745,0.01745,0.01745,608200,0.01745
2015-06-12,0.01745,0.01745,0.01745,0.01745,000,0.01745
2015-06-15,0.01561,0.01561,0.01469,0.01469,1009300,0.01469
2015-06-16,0.01561,0.01561,0.01561,0.01561,217700,0.01561
2015-06-17,0.01561,0.01561,0.01469,0.01561,495300,0.01561
2015-06-18,0.01469,0.01469,0.01469,0.01469,639500,0.01469
2015-06-19,0.01469,0.01469,0.01469,0.01469,000,0.01469
2015-06-22,0.01469,0.01469,0.01469,0.01469,000,0.01469
2015-06-23,0.01561,0.01745,0.01561,0.01745,1860800,0.01745
2015-06-24,0.01653,0.01653,0.01653,0.01653,504600,0.01653
2015-06-25,0.01745,0.01745,0.01653,0.01745,1490100,0.01745
2015-06-26,0.01745,0.01837,0.01745,0.01837,871800,0.01837
2015-06-29,0.01837,0.01837,0.01745,0.01745,987300,0.01745
2015-06-30,0.01837,0.01837,0.01837,0.01837,65300,0.01837
2015-07-01,0.01837,0.01837,0.01837,0.01837,1320400,0.01837
2015-07-02,0.01837,0.01837,0.01837,0.01837,1306600,0.01837
2015-07-03,0.01837,0.01837,0.01837,0.01837,272200,0.01837
2015-07-06,0.01837,0.01837,0.01837,0.01837,272200,0.01837
2015-07-07,0.01745,0.01745,0.01745,0.01745,992500,0.01745
2015-07-08,0.01745,0.01837,0.01745,0.01745,445800,0.01745
2015-07-09,0.01745,0.01745,0.01745,0.01745,783000,0.01745
2015-07-10,0.01745,0.01745,0.01745,0.01745,88000,0.01745
2015-07-13,0.01653,0.01653,0.01561,0.01561,114100,0.01561
2015-07-14,0.01561,0.01561,0.01561,0.01561,544400,0.01561
2015-07-15,0.01561,0.01653,0.01561,0.01561,1928700,0.01561
2015-07-16,0.01561,0.01561,0.01561,0.01561,000,0.01561
2015-07-17,0.01561,0.01561,0.01561,0.01561,000,0.01561
2015-07-20,0.01653,0.01653,0.01653,0.01653,1197700,0.01653
2015-07-21,0.01745,0.01745,0.01745,0.01745,631100,0.01745
2015-07-22,0.01561,0.01561,0.01561,0.01561,326600,0.01561
2015-07-23,0.01561,0.01561,0.01561,0.01561,000,0.01561
2015-07-24,0.01561,0.01561,0.01561,0.01561,000,0.01561
2015-07-27,0.01561,0.01561,0.01561,0.01561,1036200,0.01561
2015-07-28,0.01561,0.01561,0.01561,0.01561,000,0.01561
2015-07-29,0.01561,0.01561,0.01561,0.01561,000,0.01561
2015-07-30,0.01561,0.01561,0.01561,0.01561,000,0.01561
2015-07-31,0.01469,0.01469,0.01469,0.01469,114100,0.01469
2015-08-03,0.01469,0.01469,0.01469,0.01469,000,0.01469
2015-08-04,0.01469,0.01469,0.01469,0.01469,21700,0.01469
2015-08-05,0.01469,0.01469,0.01378,0.01378,378600,0.01378
2015-08-06,0.01378,0.01378,0.01378,0.01378,000,0.01378
2015-08-07,0.01378,0.01378,0.01378,0.01378,238100,0.01378
2015-08-10,0.01378,0.01378,0.01378,0.01378,196000,0.01378
2015-08-11,0.01378,0.01378,0.01378,0.01378,217700,0.01378
2015-08-12,0.01286,0.01286,0.01286,0.01286,493300,0.01286
2015-08-13,0.01378,0.01378,0.01378,0.01378,542200,0.01378
2015-08-14,0.01378,0.01378,0.01378,0.01378,327300,0.01378
2015-08-17,0.01378,0.01378,0.01378,0.01378,4400,0.01378
2015-08-18,0.01378,0.01378,0.01378,0.01378,920400,0.01378
2015-08-19,0.01378,0.01745,0.01378,0.01653,2519600,0.01653
2015-08-20,0.01561,0.01653,0.01561,0.01653,480700,0.01653
2015-08-21,0.01837,0.02204,0.01837,0.02204,4425000,0.02204
2015-08-24,0.02204,0.02204,0.01837,0.01837,2108900,0.01837
2015-08-25,0.01837,0.01837,0.01653,0.01837,1351000,0.01837
2015-08-26,0.01929,0.0202,0.01837,0.01929,1276100,0.01929
2015-08-27,0.0202,0.0202,0.0202,0.0202,206800,0.0202
2015-08-28,0.0202,0.0202,0.0202,0.0202,261300,0.0202
2015-08-31,0.0202,0.0202,0.0202,0.0202,000,0.0202
2015-09-01,0.02204,0.02296,0.01745,0.01929,20220300,0.01929
2015-09-02,0.0202,0.0202,0.01837,0.01837,6913300,0.01837
2015-09-03,0.01929,0.0202,0.01929,0.01929,2972100,0.01929
2015-09-04,0.01929,0.01929,0.01929,0.01929,3014600,0.01929
2015-09-07,0.0202,0.02112,0.0202,0.0202,4715000,0.0202
2015-09-08,0.01929,0.0202,0.01837,0.01837,7637300,0.01837
2015-09-09,0.01745,0.0202,0.01745,0.01929,807600,0.01929
2015-09-10,0.021,0.021,0.021,0.021,000,0.021
2015-09-11,0.019,0.019,0.019,0.019,94900,0.019
2015-09-14,0.019,0.019,0.018,0.018,131600,0.018
2015-09-15,0.018,0.018,0.018,0.018,18300,0.018
2015-09-16,0.019,0.019,0.019,0.019,111600,0.019
2015-09-17,0.018,0.019,0.018,0.019,250000,0.019
2015-09-18,0.019,0.019,0.019,0.019,52600,0.019
2015-09-21,0.017,0.017,0.017,0.017,120800,0.017
2015-09-22,0.017,0.017,0.017,0.017,000,0.017
2015-09-23,0.018,0.018,0.018,0.018,795800,0.018
2015-09-24,0.019,0.02,0.018,0.018,450000,0.018
2015-09-25,0.019,0.019,0.018,0.018,309100,0.018
2015-09-28,0.019,0.019,0.017,0.017,1162300,0.017
2015-09-29,0.017,0.017,0.017,0.017,000,0.017
2015-09-30,0.017,0.017,0.017,0.017,602700,0.017
2015-10-01,0.017,0.017,0.017,0.017,000,0.017
2015-10-02,0.017,0.017,0.017,0.017,304300,0.017
2015-10-05,0.017,0.017,0.017,0.017,100000,0.017
2015-10-06,0.017,0.017,0.017,0.017,000,0.017
2015-10-07,0.019,0.022,0.019,0.02,765100,0.02
2015-10-08,0.02,0.02,0.02,0.02,3827600,0.02
2015-10-09,0.021,0.021,0.021,0.021,2405700,0.021
2015-10-12,0.022,0.023,0.022,0.023,3150600,0.023
2015-10-13,0.023,0.023,0.022,0.023,1619400,0.023
2015-10-14,0.023,0.023,0.022,0.022,1621200,0.022
2015-10-15,0.022,0.022,0.021,0.022,1418800,0.022
2015-10-16,0.022,0.022,0.022,0.022,25000,0.022
2015-10-19,0.023,0.023,0.023,0.023,600000,0.023
2015-10-20,0.023,0.023,0.022,0.022,241700,0.022
2015-10-21,0.022,0.022,0.021,0.021,885000,0.021
2015-10-22,0.02,0.021,0.019,0.021,218500,0.021
2015-10-23,0.019,0.019,0.019,0.019,541900,0.019
2015-10-26,0.02,0.02,0.02,0.02,442100,0.02
2015-10-27,0.02,0.02,0.02,0.02,384300,0.02
2015-10-28,0.02,0.02,0.02,0.02,000,0.02
2015-10-29,0.02,0.02,0.02,0.02,216700,0.02
2015-10-30,0.02,0.02,0.02,0.02,550000,0.02
2015-11-02,0.02,0.021,0.02,0.021,500000,0.021
2015-11-03,0.021,0.021,0.021,0.021,000,0.021
2015-11-04,0.021,0.021,0.02,0.02,594200,0.02
2015-11-05,0.021,0.021,0.021,0.021,550000,0.021
2015-11-06,0.021,0.022,0.021,0.022,300800,0.022
2015-11-09,0.023,0.023,0.023,0.023,2983500,0.023
2015-11-10,0.023,0.023,0.023,0.023,000,0.023
2015-11-11,0.023,0.024,0.023,0.024,787100,0.024
2015-11-12,0.024,0.024,0.023,0.023,1345900,0.023
2015-11-13,0.023,0.025,0.023,0.025,1111200,0.025
2015-11-16,0.026,0.032,0.025,0.03,2992300,0.03
2015-11-17,0.032,0.033,0.028,0.029,2081500,0.029
2015-11-18,0.029,0.029,0.028,0.028,1613800,0.028
2015-11-19,0.028,0.029,0.027,0.027,571500,0.027
2015-11-20,0.028,0.034,0.026,0.028,12544500,0.028
2015-11-23,0.031,0.034,0.031,0.031,1050000,0.031
2015-11-24,0.033,0.033,0.032,0.032,301800,0.032
2015-11-25,0.032,0.038,0.032,0.037,4088800,0.037
2015-11-26,0.037,0.04,0.035,0.038,4741200,0.038
2015-11-27,0.04,0.045,0.039,0.043,6799900,0.043
2015-11-30,0.043,0.043,0.043,0.043,000,0.043
2015-12-01,0.044,0.045,0.039,0.039,4293400,0.039
2015-12-02,0.04,0.046,0.04,0.042,9512700,0.042
2015-12-03,0.046,0.047,0.039,0.039,8394800,0.039
2015-12-04,0.039,0.04,0.039,0.04,597500,0.04
2015-12-07,0.041,0.043,0.041,0.041,2739300,0.041
2015-12-08,0.043,0.043,0.038,0.039,2200300,0.039
2015-12-09,0.039,0.04,0.038,0.038,1371900,0.038
2015-12-10,0.038,0.038,0.032,0.038,6099900,0.038
2015-12-11,0.036,0.036,0.034,0.034,1327900,0.034
2015-12-14,0.034,0.034,0.034,0.034,000,0.034
2015-12-15,0.035,0.037,0.034,0.034,4231500,0.034
2015-12-16,0.035,0.04,0.035,0.04,1218500,0.04
2015-12-17,0.038,0.038,0.036,0.036,872100,0.036
2015-12-18,0.036,0.036,0.035,0.035,1579800,0.035
2015-12-21,0.036,0.037,0.036,0.036,1094600,0.036
2015-12-22,0.037,0.039,0.037,0.039,350000,0.039
2015-12-23,0.039,0.04,0.039,0.039,1098500,0.039
2015-12-24,0.039,0.042,0.039,0.042,1109900,0.042
2015-12-25,0.042,0.042,0.042,0.042,000,0.042
2015-12-28,0.042,0.042,0.042,0.042,000,0.042
2015-12-29,0.042,0.043,0.04,0.043,825000,0.043
2015-12-30,0.043,0.045,0.042,0.044,1579500,0.044
2015-12-31,0.044,0.048,0.043,0.047,1925100,0.047
2016-01-01,0.047,0.047,0.047,0.047,000,0.047
2016-01-04,0.049,0.052,0.047,0.05,4525900,0.05
2016-01-05,0.048,0.05,0.045,0.048,1692300,0.048
2016-01-06,0.05,0.051,0.048,0.048,1923400,0.048
2016-01-07,0.049,0.051,0.049,0.049,1237600,0.049
2016-01-08,0.051,0.053,0.05,0.053,1880600,0.053
2016-01-11,0.052,0.053,0.05,0.051,1144700,0.051
2016-01-12,0.05,0.05,0.045,0.047,2720500,0.047
2016-01-13,0.049,0.049,0.049,0.049,393900,0.049
2016-01-14,0.048,0.048,0.048,0.048,848400,0.048
2016-01-15,0.049,0.049,0.048,0.048,307500,0.048
2016-01-18,0.048,0.048,0.048,0.048,000,0.048
2016-01-19,0.048,0.048,0.048,0.048,000,0.048
2016-01-20,0.051,0.051,0.049,0.049,2025300,0.049
2016-01-21,0.05,0.05,0.049,0.049,1032000,0.049
2016-01-22,0.049,0.049,0.049,0.049,197500,0.049
2016-01-25,0.05,0.05,0.045,0.05,912800,0.05
2016-01-26,0.05,0.05,0.05,0.05,000,0.05
2016-01-27,0.05,0.05,0.05,0.05,000,0.05
2016-01-28,0.05,0.05,0.049,0.049,750000,0.049
2016-01-29,0.049,0.05,0.049,0.05,256600,0.05
2016-02-01,0.045,0.045,0.043,0.043,975700,0.043
2016-02-02,0.043,0.044,0.043,0.044,354100,0.044
2016-02-03,0.043,0.043,0.042,0.042,597400,0.042
2016-02-04,0.042,0.042,0.036,0.036,2214300,0.036
2016-02-05,0.036,0.038,0.036,0.038,2101100,0.038
2016-02-08,0.039,0.04,0.038,0.038,134500,0.038
2016-02-09,0.038,0.038,0.038,0.038,138800,0.038
2016-02-10,0.038,0.038,0.037,0.037,97800,0.037
2016-02-11,0.037,0.038,0.037,0.038,141800,0.038
2016-02-12,0.038,0.038,0.038,0.038,329800,0.038
2016-02-15,0.036,0.042,0.036,0.042,1361900,0.042
2016-02-16,0.039,0.042,0.039,0.042,217800,0.042
2016-02-17,0.042,0.042,0.042,0.042,000,0.042
2016-02-18,0.043,0.045,0.043,0.045,184400,0.045
2016-02-19,0.045,0.045,0.04,0.04,249700,0.04
2016-02-22,0.04,0.04,0.04,0.04,265000,0.04
2016-02-23,0.042,0.043,0.04,0.04,573300,0.04
2016-02-24,0.042,0.042,0.042,0.042,125000,0.042
2016-02-25,0.042,0.043,0.04,0.043,832100,0.043
2016-02-26,0.043,0.043,0.043,0.043,000,0.043
2016-02-29,0.044,0.045,0.044,0.044,1730400,0.044
2016-03-01,0.043,0.043,0.042,0.042,548700,0.042
2016-03-02,0.041,0.041,0.038,0.038,1103400,0.038
2016-03-03,0.04,0.04,0.04,0.04,235800,0.04
2016-03-04,0.041,0.041,0.041,0.041,283400,0.041
2016-03-07,0.042,0.042,0.039,0.039,836600,0.039
2016-03-08,0.041,0.043,0.04,0.04,640800,0.04
2016-03-09,0.041,0.043,0.041,0.042,1236900,0.042
2016-03-10,0.043,0.043,0.04,0.041,1280000,0.041
2016-03-11,0.041,0.041,0.04,0.04,419500,0.04
2016-03-14,0.04,0.04,0.039,0.039,447400,0.039
2016-03-15,0.04,0.04,0.039,0.039,850000,0.039
2016-03-16,0.039,0.04,0.039,0.04,370000,0.04
2016-03-17,0.04,0.04,0.04,0.04,30000,0.04
2016-03-18,0.039,0.041,0.039,0.039,1733000,0.039
2016-03-21,0.039,0.039,0.039,0.039,000,0.039
2016-03-22,0.038,0.038,0.037,0.038,1049000,0.038
2016-03-23,0.039,0.039,0.039,0.039,400000,0.039
2016-03-24,0.039,0.041,0.039,0.04,268300,0.04
2016-03-25,0.04,0.04,0.04,0.04,000,0.04
2016-03-28,0.04,0.04,0.04,0.04,000,0.04
2016-03-29,0.041,0.041,0.04,0.04,475500,0.04
2016-03-30,0.04,0.042,0.04,0.042,435700,0.042
2016-03-31,0.042,0.042,0.042,0.042,000,0.042
2016-04-01,0.041,0.042,0.04,0.042,1187000,0.042
2016-04-04,0.042,0.044,0.042,0.043,586900,0.043
2016-04-05,0.043,0.043,0.042,0.043,859000,0.043
2016-04-06,0.043,0.043,0.043,0.043,000,0.043
2016-04-07,0.043,0.043,0.043,0.043,000,0.043
2016-04-08,0.044,0.044,0.039,0.039,3415000,0.039
2016-04-11,0.04,0.041,0.039,0.04,948500,0.04
2016-04-12,0.04,0.045,0.04,0.045,3261700,0.045
2016-04-13,0.045,0.049,0.045,0.049,3293700,0.049
2016-04-14,0.05,0.051,0.05,0.051,1857700,0.051
2016-04-15,0.053,0.053,0.051,0.052,1497600,0.052


2016-04-18,0.053,0.06,0.052,0.059,4875500,0.059
2016-04-19,0.061,0.068,0.061,0.063,5004100,0.063
2016-04-20,0.064,0.065,0.052,0.053,2663900,0.053
2016-04-21,0.055,0.058,0.055,0.056,1271600,0.056
2016-04-22,0.057,0.061,0.054,0.055,3062900,0.055


2016-04-25,0.055,0.055,0.055,0.055,000,0.055
2016-04-26,0.056,0.06,0.056,0.06,1108000,0.06
2016-04-27,0.06,0.06,0.055,0.057,366800,0.057
2016-04-28,0.057,0.057,0.055,0.057,627200,0.057
2016-04-29,0.057,0.059,0.057,0.059,128900,0.059


2016-05-02,0.059,0.06,0.057,0.057,528600,0.057
2016-05-03,0.057,0.058,0.056,0.056,677400,0.056
2016-05-04,0.056,0.056,0.055,0.055,149800,0.055
2016-05-05,0.056,0.056,0.055,0.055,109200,0.055
2016-05-06,0.055,0.055,0.055,0.055,626200,0.055


2016-05-09,0.055,0.055,0.054,0.054,584100,0.054
2016-05-10,0.053,0.053,0.052,0.052,966300,0.052
2016-05-11,0.053,0.054,0.05,0.052,1565500,0.052
2016-05-12,0.05,0.05,0.045,0.045,2308000,0.045
2016-05-13,0.046,0.046,0.044,0.045,1484200,0.045


2016-05-16,0.045,0.047,0.045,0.045,728200,0.045
2016-05-17,0.046,0.047,0.045,0.047,822400,0.047
2016-05-18,0.047,0.052,0.047,0.052,180600,0.052
2016-05-19,0.049,0.049,0.048,0.048,135600,0.048
2016-05-20,0.048,0.048,0.047,0.047,280800,0.047


2016-05-23,0.047,0.051,0.046,0.048,325200,0.048
2016-05-24,0.048,0.048,0.046,0.048,648200,0.048
2016-05-25,0.047,0.047,0.046,0.047,993300,0.047
2016-05-26,0.046,0.046,0.045,0.045,895200,0.045
2016-05-27,0.046,0.047,0.046,0.047,52700,0.047


2016-05-30,0.046,0.046,0.045,0.045,952300,0.045
2016-05-31,0.044,0.044,0.043,0.043,385500,0.043
2016-06-01,0.043,0.047,0.043,0.047,603700,0.047
2016-06-02,0.047,0.047,0.045,0.045,5578000,0.045
2016-06-03,0.045,0.047,0.045,0.046,560600,0.046


2016-06-06,0.046,0.046,0.046,0.046,10800,0.046
2016-06-07,0.047,0.051,0.047,0.05,831400,0.05
2016-06-08,0.05,0.05,0.048,0.048,26000,0.048
2016-06-09,0.049,0.049,0.048,0.048,299200,0.048
2016-06-10,0.048,0.048,0.048,0.048,000,0.048


2016-06-13,0.048,0.048,0.048,0.048,000,0.048
2016-06-14,0.049,0.05,0.049,0.049,394000,0.049
