Date,Open,High,Low,Close,Volume,Adj Close
2015-08-06,1.205,1.22,1.195,1.20,940200,1.20
2015-08-07,1.19,1.205,1.185,1.19,3874600,1.19
2015-08-10,1.185,1.185,1.155,1.16,1296400,1.16
2015-08-11,1.19,1.195,1.155,1.17,1731800,1.17
2015-08-12,1.155,1.17,1.13,1.145,3352700,1.145
2015-08-13,1.135,1.14,1.105,1.11,3375200,1.11
2015-08-14,1.11,1.12,1.07,1.075,1999200,1.075
2015-08-17,1.08,1.095,1.05,1.055,797200,1.055
2015-08-18,1.055,1.06,0.98,0.99,2274300,0.99
2015-08-19,1.00,1.005,0.96,0.975,2473000,0.975
2015-08-20,0.94,0.957,0.91,0.915,3139100,0.915
2015-08-21,0.90,0.955,0.875,0.94,3204300,0.94
2015-08-24,0.905,0.92,0.86,0.89,2185900,0.89
2015-08-25,0.855,0.905,0.85,0.875,3841300,0.875
2015-08-26,0.85,0.915,0.80,0.89,4952500,0.89
2015-08-27,0.915,0.92,0.857,0.88,2979800,0.88
2015-08-28,0.95,0.95,0.91,0.925,2485900,0.925
2015-08-31,0.94,0.97,0.905,0.93,2485600,0.93
2015-09-01,0.95,0.955,0.855,0.86,5573800,0.86
2015-09-02,0.84,0.845,0.805,0.82,3768800,0.82
2015-09-03,0.83,0.845,0.77,0.775,3776400,0.775
2015-09-04,0.77,0.785,0.72,0.73,3068800,0.73
2015-09-07,0.725,0.73,0.66,0.665,3810800,0.665
2015-09-08,0.69,0.73,0.69,0.72,2529600,0.72
2015-09-09,0.75,0.76,0.70,0.725,4597100,0.725
2015-09-10,0.71,0.715,0.675,0.68,3104300,0.68
2015-09-11,0.69,0.71,0.65,0.655,3217700,0.655
2015-09-14,0.655,0.66,0.595,0.605,4383700,0.605
2015-09-15,0.60,0.605,0.555,0.595,3602100,0.595
2015-09-16,0.60,0.625,0.60,0.62,2230800,0.62
2015-09-17,0.655,0.74,0.655,0.72,14669700,0.72
2015-09-18,0.72,0.73,0.685,0.705,4750500,0.705
2015-09-21,0.685,0.70,0.68,0.685,2046500,0.685
2015-09-22,0.73,0.745,0.702,0.73,2583900,0.73
2015-09-23,0.72,0.73,0.685,0.715,17761900,0.715
2015-09-24,0.70,0.725,0.685,0.71,2060300,0.71
2015-09-25,0.71,0.72,0.69,0.695,4465500,0.695
2015-09-28,0.705,0.72,0.667,0.705,2463300,0.705
2015-09-29,0.685,0.69,0.63,0.64,3653100,0.64
2015-09-30,0.64,0.655,0.605,0.62,3339700,0.62
2015-10-01,0.62,0.66,0.62,0.64,2570800,0.64
2015-10-02,0.625,0.665,0.62,0.65,2044600,0.65
2015-10-05,0.665,0.695,0.65,0.69,1540000,0.69
2015-10-06,0.71,0.745,0.70,0.73,3047900,0.73
2015-10-07,0.78,0.8725,0.77,0.84,7618200,0.84
2015-10-08,0.855,0.86,0.785,0.79,4572300,0.79
2015-10-09,0.82,0.825,0.765,0.775,5336700,0.775
2015-10-12,0.775,0.79,0.75,0.76,3091600,0.76
2015-10-13,0.74,0.75,0.72,0.735,3934400,0.735
2015-10-14,0.725,0.74,0.69,0.70,3321200,0.70
2015-10-15,0.71,0.76,0.705,0.745,1937300,0.745
2015-10-16,0.75,0.78,0.745,0.76,2352800,0.76
2015-10-19,0.775,0.78,0.735,0.755,1824800,0.755
2015-10-20,0.735,0.76,0.72,0.74,2307200,0.74
2015-10-21,0.75,0.75,0.705,0.71,2854500,0.71
2015-10-22,0.73,0.73,0.705,0.72,3414200,0.72
2015-10-23,0.745,0.75,0.72,0.735,2385900,0.735
2015-10-26,0.74,0.745,0.725,0.735,4174300,0.735
2015-10-27,0.73,0.73,0.685,0.695,5830200,0.695
2015-10-28,0.70,0.705,0.665,0.675,5378900,0.675
2015-10-29,0.70,0.70,0.65,0.65,5535700,0.65
2015-10-30,0.66,0.665,0.63,0.63,3459000,0.63
2015-11-02,0.635,0.645,0.62,0.625,1756100,0.625
2015-11-03,0.63,0.66,0.62,0.65,2195500,0.65
2015-11-04,0.675,0.705,0.665,0.675,3318600,0.675
2015-11-05,0.675,0.695,0.66,0.69,1953500,0.69
2015-11-06,0.68,0.68,0.655,0.66,2155900,0.66
2015-11-09,0.66,0.66,0.635,0.655,2504700,0.655
2015-11-10,0.65,0.705,0.635,0.69,4666800,0.69
2015-11-11,0.685,0.70,0.645,0.675,3207200,0.675
2015-11-12,0.655,0.66,0.63,0.64,2535200,0.64
2015-11-13,0.63,0.635,0.592,0.61,4458800,0.61
2015-11-16,0.59,0.605,0.58,0.59,2711200,0.59
2015-11-17,0.605,0.615,0.59,0.615,3125600,0.615
2015-11-18,0.605,0.61,0.59,0.595,2173500,0.595
2015-11-19,0.605,0.64,0.605,0.64,2681300,0.64
2015-11-20,0.645,0.65,0.62,0.635,1901800,0.635
2015-11-23,0.625,0.635,0.605,0.61,1660100,0.61
2015-11-24,0.61,0.62,0.59,0.59,2036900,0.59
2015-11-25,0.61,0.62,0.585,0.61,2953000,0.61
2015-11-26,0.61,0.63,0.605,0.62,2009200,0.62
2015-11-27,0.625,0.635,0.615,0.63,2372100,0.63
2015-11-30,0.615,0.655,0.61,0.65,3733400,0.65
2015-12-01,0.65,0.66,0.62,0.65,6441000,0.65
2015-12-02,0.655,0.665,0.64,0.65,1844900,0.65
2015-12-03,0.635,0.67,0.63,0.665,2248500,0.665
2015-12-04,0.655,0.665,0.64,0.655,1467700,0.655
2015-12-07,0.655,0.655,0.60,0.61,3541100,0.61
2015-12-08,0.59,0.59,0.522,0.545,4015700,0.545
2015-12-09,0.545,0.56,0.52,0.545,2252200,0.545
2015-12-10,0.54,0.57,0.54,0.56,2142200,0.56
2015-12-11,0.555,0.565,0.53,0.555,3070200,0.555
2015-12-14,0.55,0.585,0.545,0.56,5938700,0.56
2015-12-15,0.565,0.60,0.55,0.55,3529300,0.55
2015-12-16,0.565,0.575,0.53,0.53,5130200,0.53
2015-12-17,0.54,0.545,0.515,0.515,3947800,0.515
2015-12-18,0.505,0.505,0.475,0.48,6140200,0.48
2015-12-21,0.48,0.505,0.46,0.46,3464600,0.46
2015-12-22,0.47,0.482,0.455,0.46,3458900,0.46
2015-12-23,0.47,0.48,0.46,0.47,1996900,0.47
2015-12-24,0.49,0.51,0.49,0.50,2427600,0.50
2015-12-25,0.50,0.50,0.50,0.50,000,0.50
2015-12-28,0.50,0.50,0.50,0.50,000,0.50
2015-12-29,0.485,0.52,0.485,0.52,2191100,0.52
2015-12-30,0.53,0.545,0.51,0.52,1221900,0.52
2015-12-31,0.52,0.525,0.50,0.50,532900,0.50
2016-01-01,0.50,0.50,0.50,0.50,000,0.50
2016-01-04,0.515,0.535,0.512,0.52,3431900,0.52
2016-01-05,0.52,0.57,0.51,0.54,4435900,0.54
2016-01-06,0.555,0.56,0.495,0.505,3204900,0.505
2016-01-07,0.50,0.51,0.477,0.49,5213600,0.49
2016-01-08,0.49,0.495,0.475,0.485,2484600,0.485
2016-01-11,0.485,0.485,0.44,0.45,3159300,0.45
2016-01-12,0.45,0.475,0.417,0.42,3921700,0.42
2016-01-13,0.42,0.435,0.40,0.43,3482900,0.43
2016-01-14,0.40,0.415,0.385,0.41,4222600,0.41
2016-01-15,0.435,0.44,0.38,0.40,4486000,0.40
2016-01-18,0.38,0.385,0.365,0.38,3130100,0.38
2016-01-19,0.38,0.39,0.355,0.355,5413500,0.355
2016-01-20,0.355,0.362,0.33,0.335,5692500,0.335
2016-01-21,0.33,0.3475,0.31,0.31,6583900,0.31
2016-01-22,0.34,0.35,0.32,0.33,4912100,0.33
2016-01-25,0.355,0.365,0.35,0.36,3662800,0.36
2016-01-26,0.36,0.36,0.36,0.36,000,0.36
2016-01-27,0.455,0.585,0.43,0.565,31478400,0.565
2016-01-28,0.59,0.592,0.495,0.50,10541200,0.50
2016-01-29,0.51,0.52,0.48,0.515,8467500,0.515
2016-02-01,0.525,0.53,0.477,0.485,5591300,0.485
2016-02-02,0.47,0.47,0.44,0.44,5840800,0.44
2016-02-03,0.42,0.43,0.41,0.41,7966300,0.41
2016-02-04,0.45,0.455,0.43,0.435,8821400,0.435
2016-02-05,0.43,0.45,0.415,0.44,4196800,0.44
2016-02-08,0.43,0.447,0.42,0.42,3338000,0.42
2016-02-09,0.42,0.42,0.39,0.39,8756800,0.39
2016-02-10,0.395,0.405,0.375,0.385,4048700,0.385
2016-02-11,0.39,0.395,0.37,0.375,4516600,0.375
2016-02-12,0.37,0.405,0.36,0.395,7174900,0.395
2016-02-15,0.42,0.435,0.41,0.43,6290300,0.43
2016-02-16,0.44,0.44,0.415,0.43,7830900,0.43
2016-02-17,0.41,0.425,0.395,0.40,7696700,0.40
2016-02-18,0.43,0.50,0.425,0.495,18463300,0.495
2016-02-19,0.485,0.49,0.46,0.46,8057000,0.46
2016-02-22,0.45,0.495,0.45,0.49,4602800,0.49
2016-02-23,0.515,0.52,0.48,0.49,10254700,0.49
2016-02-24,0.455,0.475,0.445,0.465,6303300,0.465
2016-02-25,0.475,0.485,0.47,0.47,3278500,0.47
2016-02-26,0.48,0.48,0.465,0.47,2599400,0.47
2016-02-29,0.475,0.4875,0.465,0.485,2600500,0.485
2016-03-01,0.485,0.52,0.485,0.52,3969300,0.52
2016-03-02,0.54,0.59,0.535,0.58,7403700,0.58
2016-03-03,0.595,0.67,0.59,0.63,13094900,0.63
2016-03-04,0.64,0.70,0.63,0.68,7191200,0.68
2016-03-07,0.725,0.765,0.72,0.74,16714000,0.74
2016-03-08,0.765,0.7775,0.685,0.72,15406300,0.72
2016-03-09,0.67,0.68,0.645,0.665,7890400,0.665
2016-03-10,0.685,0.70,0.635,0.64,5174700,0.64
2016-03-11,0.63,0.64,0.605,0.63,5160600,0.63
2016-03-14,0.65,0.68,0.645,0.66,3487700,0.66
2016-03-15,0.65,0.65,0.635,0.64,2539000,0.64
2016-03-16,0.64,0.69,0.635,0.655,5897000,0.655
2016-03-17,0.695,0.715,0.68,0.695,4837700,0.695
2016-03-18,0.715,0.74,0.712,0.74,21807800,0.74
2016-03-21,0.735,0.735,0.69,0.69,3752400,0.69
2016-03-22,0.705,0.725,0.69,0.725,3661000,0.725
2016-03-23,0.71,0.745,0.705,0.725,2802600,0.725
2016-03-24,0.705,0.72,0.695,0.70,2250800,0.70
2016-03-25,0.70,0.70,0.70,0.70,000,0.70
2016-03-28,0.70,0.70,0.70,0.70,000,0.70
2016-03-29,0.695,0.71,0.68,0.685,2664400,0.685
2016-03-30,0.695,0.70,0.655,0.675,2200000,0.675
2016-03-31,0.695,0.695,0.67,0.675,2570900,0.675
2016-04-01,0.68,0.685,0.64,0.655,2848000,0.655
2016-04-04,0.655,0.655,0.58,0.58,6925200,0.58
2016-04-05,0.58,0.582,0.55,0.55,5261300,0.55
2016-04-06,0.58,0.595,0.562,0.59,3791000,0.59
2016-04-07,0.615,0.625,0.585,0.59,5589800,0.59
2016-04-08,0.58,0.585,0.56,0.57,4547200,0.57
2016-04-11,0.605,0.61,0.575,0.585,5111400,0.585
2016-04-12,0.595,0.60,0.577,0.58,3102900,0.58
2016-04-13,0.60,0.62,0.595,0.60,12450000,0.60
2016-04-14,0.60,0.645,0.60,0.64,4628300,0.64
2016-04-15,0.64,0.645,0.62,0.635,2954300,0.635


2016-04-18,0.595,0.635,0.58,0.63,5108800,0.63
2016-04-19,0.66,0.685,0.655,0.68,6296900,0.68
2016-04-20,0.685,0.70,0.63,0.63,3210900,0.63
2016-04-21,0.66,0.70,0.655,0.695,4763100,0.695
2016-04-22,0.675,0.745,0.665,0.725,4096700,0.725


2016-04-25,0.725,0.725,0.725,0.725,000,0.725
2016-04-26,0.72,0.7275,0.695,0.72,2163500,0.72
2016-04-27,0.735,0.75,0.715,0.72,2177500,0.72
2016-04-28,0.735,0.755,0.71,0.725,2853100,0.725
2016-04-29,0.72,0.73,0.68,0.695,2641000,0.695


2016-05-02,0.69,0.715,0.675,0.705,1776800,0.705
2016-05-03,0.70,0.705,0.66,0.68,3361700,0.68
2016-05-04,0.665,0.67,0.64,0.655,3076400,0.655
2016-05-05,0.65,0.665,0.63,0.64,2216900,0.64
2016-05-06,0.64,0.645,0.625,0.63,2987800,0.63


2016-05-09,0.65,0.66,0.625,0.63,4906300,0.63
2016-05-10,0.625,0.625,0.602,0.615,4700000,0.615
2016-05-11,0.635,0.74,0.63,0.715,8993100,0.715
2016-05-12,0.73,0.77,0.715,0.77,6535000,0.77
2016-05-13,0.77,0.79,0.755,0.77,4406600,0.77


2016-05-16,0.78,0.795,0.765,0.79,4820000,0.79
2016-05-17,0.805,0.825,0.797,0.81,17220200,0.81
2016-05-18,0.805,0.84,0.805,0.835,4575400,0.835
2016-05-19,0.835,0.84,0.79,0.81,3003600,0.81
2016-05-20,0.81,0.82,0.80,0.805,4877800,0.805


2016-05-23,0.805,0.815,0.805,0.81,2730600,0.81
2016-05-24,0.81,0.82,0.80,0.805,2936700,0.805
2016-05-25,0.815,0.835,0.795,0.81,3839200,0.81
2016-05-26,0.815,0.84,0.80,0.805,2571600,0.805
2016-05-27,0.805,0.83,0.795,0.825,2677500,0.825


2016-05-30,0.82,0.8825,0.817,0.865,3395400,0.865
2016-05-31,0.865,0.89,0.865,0.87,6489800,0.87
2016-06-01,0.86,0.88,0.855,0.875,1908200,0.875
2016-06-02,0.87,0.87,0.83,0.85,6920100,0.85
2016-06-03,0.865,0.91,0.865,0.905,4852000,0.905


2016-06-06,0.91,0.915,0.865,0.885,2311100,0.885
2016-06-07,0.90,0.92,0.885,0.895,2585500,0.895
2016-06-08,0.905,0.91,0.89,0.91,3028200,0.91
2016-06-09,0.91,0.917,0.875,0.90,2316800,0.90
2016-06-10,0.90,0.915,0.885,0.89,4358900,0.89


2016-06-13,0.89,0.89,0.89,0.89,000,0.89
2016-06-14,0.85,0.85,0.822,0.84,3293300,0.84
