Date,Open,High,Low,Close,Volume,Adj Close
2015-05-18,0.28,0.28,0.28,0.28,000,0.27179
2015-05-19,0.28,0.28,0.28,0.28,3700,0.27179
2015-05-20,0.28,0.28,0.28,0.28,000,0.27179
2015-05-21,0.28,0.28,0.26,0.26,1500,0.25238
2015-05-22,0.26,0.26,0.26,0.26,1000,0.25238
2015-05-25,0.26,0.26,0.26,0.26,000,0.25238
2015-05-26,0.26,0.26,0.26,0.26,000,0.25238
2015-05-27,0.27,0.27,0.27,0.27,3000,0.26208
2015-05-28,0.30,0.30,0.30,0.30,9000,0.29121
2015-05-29,0.30,0.30,0.30,0.30,000,0.29121
2015-06-01,0.30,0.30,0.30,0.30,000,0.29121
2015-06-02,0.26,0.26,0.26,0.26,3500,0.25238
2015-06-03,0.26,0.26,0.26,0.26,000,0.25238
2015-06-04,0.265,0.265,0.265,0.265,6000,0.25723
2015-06-05,0.29,0.29,0.29,0.29,9000,0.2815
2015-06-08,0.29,0.29,0.29,0.29,000,0.2815
2015-06-09,0.30,0.35,0.30,0.35,71400,0.33974
2015-06-10,0.35,0.35,0.35,0.35,000,0.33974
2015-06-11,0.35,0.35,0.35,0.35,000,0.33974
2015-06-12,0.35,0.35,0.35,0.35,000,0.33974
2015-06-15,0.29,0.29,0.29,0.29,7800,0.2815
2015-06-16,0.29,0.29,0.29,0.29,000,0.2815
2015-06-17,0.29,0.29,0.29,0.29,000,0.2815
2015-06-18,0.29,0.29,0.29,0.29,000,0.2815
2015-06-19,0.29,0.29,0.29,0.29,000,0.2815
2015-06-22,0.29,0.29,0.29,0.29,000,0.2815
2015-06-23,0.31,0.31,0.255,0.255,20100,0.24752
2015-06-24,0.255,0.255,0.255,0.255,000,0.24752
2015-06-25,0.255,0.255,0.255,0.255,000,0.24752
2015-06-26,0.255,0.255,0.255,0.255,000,0.24752
2015-06-29,0.255,0.255,0.255,0.255,000,0.24752
2015-06-30,0.255,0.255,0.255,0.255,000,0.24752
2015-07-01,0.255,0.255,0.255,0.255,000,0.24752
2015-07-02,0.255,0.255,0.255,0.255,000,0.24752
2015-07-03,0.255,0.255,0.255,0.255,000,0.24752
2015-07-06,0.255,0.255,0.255,0.255,000,0.24752
2015-07-07,0.255,0.255,0.255,0.255,000,0.24752
2015-07-08,0.255,0.255,0.255,0.255,000,0.24752
2015-07-09,0.255,0.255,0.255,0.255,000,0.24752
2015-07-10,0.255,0.255,0.255,0.255,000,0.24752
2015-07-13,0.255,0.255,0.255,0.255,000,0.24752
2015-07-14,0.255,0.255,0.255,0.255,000,0.24752
2015-07-15,0.255,0.255,0.255,0.255,000,0.24752
2015-07-16,0.255,0.255,0.255,0.255,000,0.24752
2015-07-17,0.305,0.305,0.29,0.29,11700,0.2815
2015-07-20,0.29,0.29,0.29,0.29,24000,0.2815
2015-07-21,0.29,0.29,0.29,0.29,000,0.2815
2015-07-22,0.29,0.29,0.29,0.29,000,0.2815
2015-07-23,0.29,0.29,0.29,0.29,000,0.2815
2015-07-24,0.29,0.29,0.29,0.29,000,0.2815
2015-07-27,0.29,0.29,0.29,0.29,000,0.2815
2015-07-28,0.29,0.29,0.29,0.29,000,0.2815
2015-07-29,0.29,0.29,0.29,0.29,000,0.2815
2015-07-30,0.29,0.29,0.29,0.29,000,0.2815
2015-07-31,0.29,0.29,0.29,0.29,000,0.2815
2015-08-03,0.29,0.29,0.29,0.29,000,0.2815
2015-08-04,0.29,0.29,0.29,0.29,000,0.2815
2015-08-05,0.29,0.29,0.29,0.29,000,0.2815
2015-08-06,0.29,0.29,0.29,0.29,000,0.2815
2015-08-07,0.29,0.29,0.29,0.29,000,0.2815
2015-08-10,0.29,0.29,0.29,0.29,000,0.2815
2015-08-11,0.29,0.29,0.29,0.29,000,0.2815
2015-08-12,0.29,0.29,0.29,0.29,000,0.2815
2015-08-13,0.33,0.33,0.33,0.33,5000,0.32033
2015-08-14,0.30,0.30,0.30,0.30,10000,0.29121
2015-08-17,0.30,0.30,0.30,0.30,000,0.29121
2015-08-18,0.30,0.30,0.30,0.30,000,0.29121
2015-08-19,0.34,0.34,0.34,0.34,16700,0.33003
2015-08-20,0.34,0.34,0.34,0.34,000,0.33003
2015-08-21,0.30,0.30,0.30,0.30,15000,0.29121
2015-08-24,0.30,0.30,0.30,0.30,000,0.29121
2015-08-25,0.30,0.30,0.30,0.30,000,0.29121
2015-08-26,0.30,0.30,0.30,0.30,000,0.29121
2015-08-27,0.30,0.30,0.30,0.30,000,0.29121
2015-08-28,0.30,0.30,0.30,0.30,000,0.29121
2015-08-31,0.30,0.30,0.30,0.30,000,0.29121
2015-09-01,0.30,0.30,0.30,0.30,000,0.29121
2015-09-02,0.30,0.30,0.30,0.30,000,0.29121
2015-09-03,0.30,0.30,0.30,0.30,000,0.29121
2015-09-04,0.30,0.30,0.30,0.30,000,0.29121
2015-09-07,0.30,0.30,0.30,0.30,000,0.29121
2015-09-08,0.30,0.30,0.30,0.30,000,0.29121
2015-09-09,0.30,0.30,0.30,0.30,000,0.29121
2015-09-10,0.30,0.30,0.30,0.30,000,0.29121
2015-09-11,0.30,0.30,0.30,0.30,000,0.29121
2015-09-14,0.30,0.30,0.30,0.30,000,0.29121
2015-09-15,0.30,0.30,0.30,0.30,000,0.29121
2015-09-16,0.335,0.335,0.335,0.335,6000,0.32518
2015-09-17,0.335,0.335,0.335,0.335,3000,0.32518
2015-09-18,0.335,0.335,0.335,0.335,000,0.32518
2015-09-21,0.335,0.335,0.335,0.335,000,0.32518
2015-09-22,0.335,0.335,0.335,0.335,000,0.32518
2015-09-23,0.335,0.335,0.335,0.335,000,0.32518
2015-09-24,0.335,0.335,0.335,0.335,000,0.32518
2015-09-25,0.335,0.335,0.335,0.335,000,0.32518
2015-09-28,0.335,0.335,0.335,0.335,000,0.32518
2015-09-29,0.335,0.335,0.335,0.335,000,0.32518
2015-09-30,0.335,0.335,0.335,0.335,000,0.32518
2015-10-01,0.335,0.335,0.335,0.335,1500,0.32518
2015-10-02,0.33,0.335,0.33,0.335,2500,0.32518
2015-10-05,0.335,0.335,0.335,0.335,10000,0.32518
2015-10-06,0.335,0.335,0.335,0.335,000,0.32518
2015-10-07,0.335,0.335,0.335,0.335,000,0.32518
2015-10-08,0.335,0.335,0.335,0.335,000,0.32518
2015-10-09,0.31,0.31,0.31,0.31,1000,0.30091
2015-10-12,0.31,0.31,0.31,0.31,000,0.30091
2015-10-13,0.31,0.31,0.31,0.31,000,0.30091
2015-10-14,0.31,0.31,0.31,0.31,3900,0.30091
2015-10-15,0.31,0.31,0.31,0.31,000,0.30091
2015-10-16,0.31,0.31,0.31,0.31,2600,0.30091
2015-10-19,0.31,0.31,0.31,0.31,000,0.30091
2015-10-20,0.31,0.31,0.31,0.31,000,0.30091
2015-10-21,0.31,0.31,0.31,0.31,000,0.30091
2015-10-22,0.31,0.31,0.31,0.31,000,0.30091
2015-10-23,0.31,0.31,0.31,0.31,000,0.30091
2015-10-26,0.31,0.31,0.31,0.31,000,0.30091
2015-10-27,0.31,0.31,0.31,0.31,000,0.30091
2015-10-28,0.31,0.31,0.31,0.31,000,0.30091
2015-10-29,0.31,0.31,0.31,0.31,000,0.30091
2015-10-30,0.31,0.31,0.31,0.31,000,0.30091
2015-11-02,0.31,0.31,0.31,0.31,000,0.30091
2015-11-03,0.31,0.31,0.31,0.31,000,0.30091
2015-11-04,0.31,0.31,0.31,0.31,000,0.30091
2015-11-05,0.31,0.31,0.31,0.31,000,0.30091
2015-11-06,0.31,0.31,0.31,0.31,000,0.30091
2015-11-09,0.31,0.31,0.31,0.31,000,0.30091
2015-11-10,0.31,0.31,0.31,0.31,000,0.30091
2015-11-11,0.295,0.295,0.295,0.295,35400,0.28635
2015-11-12,0.295,0.295,0.295,0.295,000,0.28635
2015-11-13,0.295,0.295,0.295,0.295,000,0.28635
2015-11-16,0.295,0.295,0.295,0.295,000,0.28635
2015-11-17,0.295,0.295,0.295,0.295,000,0.28635
2015-11-18,0.295,0.295,0.295,0.295,000,0.28635
2015-11-19,0.295,0.295,0.295,0.295,000,0.28635
2015-11-20,0.28,0.28,0.28,0.28,27800,0.27179
2015-11-23,0.28,0.28,0.28,0.28,000,0.27179
2015-11-24,0.28,0.28,0.28,0.28,000,0.27179
2015-11-25,0.28,0.28,0.28,0.28,000,0.27179
2015-11-26,0.28,0.28,0.28,0.28,000,0.27179
2015-11-27,0.28,0.28,0.28,0.28,000,0.27179
2015-11-30,0.28,0.28,0.28,0.28,000,0.27179
2015-12-01,0.28,0.28,0.28,0.28,000,0.27179
2015-12-02,0.28,0.28,0.28,0.28,000,0.27179
2015-12-03,0.28,0.28,0.28,0.28,000,0.27179
2015-12-04,0.28,0.28,0.28,0.28,000,0.27179
2015-12-07,0.28,0.28,0.28,0.28,000,0.27179
2015-12-08,0.28,0.28,0.28,0.28,000,0.27179
2015-12-09,0.28,0.28,0.28,0.28,4000,0.27179
2015-12-10,0.28,0.28,0.28,0.28,000,0.27179
2015-12-11,0.28,0.28,0.28,0.28,000,0.27179
2015-12-14,0.305,0.305,0.305,0.305,2000,0.29606
2015-12-15,0.305,0.305,0.305,0.305,000,0.29606
2015-12-16,0.34,0.34,0.34,0.34,200,0.33003
2015-12-17,0.34,0.34,0.34,0.34,2000,0.33003
2015-12-18,0.34,0.34,0.34,0.34,27800,0.33003
2015-12-21,0.345,0.345,0.345,0.345,5000,0.33489
2015-12-22,0.345,0.345,0.345,0.345,000,0.33489
2015-12-23,0.345,0.345,0.345,0.345,000,0.33489
2015-12-24,0.345,0.345,0.345,0.345,000,0.33489
2015-12-25,0.345,0.345,0.345,0.345,000,0.33489
2015-12-28,0.345,0.345,0.345,0.345,000,0.33489
2015-12-29,0.345,0.345,0.345,0.345,000,0.33489
2015-12-30,0.345,0.345,0.345,0.345,200,0.33489
2015-12-31,0.345,0.345,0.345,0.345,000,0.33489
2016-01-01,0.345,0.345,0.345,0.345,000,0.33489
2016-01-04,0.345,0.345,0.345,0.345,000,0.33489
2016-01-05,0.345,0.345,0.345,0.345,000,0.33489
2016-01-06,0.345,0.345,0.345,0.345,000,0.33489
2016-01-07,0.345,0.345,0.345,0.345,000,0.33489
2016-01-08,0.345,0.345,0.345,0.345,000,0.33489
2016-01-11,0.345,0.345,0.345,0.345,000,0.33489
2016-01-12,0.345,0.345,0.345,0.345,000,0.33489
2016-01-13,0.345,0.345,0.345,0.345,000,0.33489
2016-01-14,0.305,0.32,0.305,0.32,46000,0.31062
2016-01-15,0.32,0.32,0.32,0.32,000,0.31062
2016-01-18,0.34,0.34,0.34,0.34,500,0.33003
2016-01-19,0.34,0.34,0.34,0.34,000,0.33003
2016-01-20,0.34,0.34,0.34,0.34,000,0.33003
2016-01-21,0.345,0.345,0.345,0.345,2900,0.33489
2016-01-22,0.345,0.345,0.345,0.345,16800,0.33489
2016-01-25,0.345,0.345,0.345,0.345,000,0.33489
2016-01-26,0.345,0.345,0.345,0.345,000,0.33489
2016-01-27,0.345,0.345,0.345,0.345,000,0.33489
2016-01-28,0.345,0.345,0.345,0.345,200,0.33489
2016-01-29,0.345,0.345,0.345,0.345,000,0.33489
2016-02-01,0.345,0.345,0.345,0.345,000,0.33489
2016-02-02,0.34,0.34,0.34,0.34,1000,0.33003
2016-02-03,0.34,0.34,0.34,0.34,000,0.33003
2016-02-04,0.34,0.34,0.34,0.34,000,0.33003
2016-02-05,0.34,0.34,0.34,0.34,000,0.33003
2016-02-08,0.34,0.34,0.34,0.34,000,0.33003
2016-02-09,0.34,0.34,0.34,0.34,000,0.33003
2016-02-10,0.34,0.34,0.34,0.34,000,0.33003
2016-02-11,0.34,0.34,0.34,0.34,000,0.33003
2016-02-12,0.34,0.34,0.34,0.34,000,0.33003
2016-02-15,0.34,0.34,0.34,0.34,000,0.33003
2016-02-16,0.34,0.34,0.34,0.34,000,0.33003
2016-02-17,0.34,0.34,0.34,0.34,000,0.33003
2016-02-18,0.34,0.34,0.34,0.34,000,0.33003
2016-02-19,0.34,0.34,0.34,0.34,000,0.33003
2016-02-22,0.34,0.34,0.34,0.34,000,0.33003
2016-02-23,0.36,0.36,0.36,0.36,3200,0.34945
2016-02-24,0.36,0.36,0.36,0.36,000,0.34945
2016-02-25,0.36,0.36,0.36,0.36,000,0.34945
2016-02-26,0.36,0.36,0.36,0.36,000,0.34945
2016-02-29,0.36,0.36,0.36,0.36,000,0.34945
2016-03-01,0.36,0.36,0.36,0.36,000,0.34945
2016-03-02,0.36,0.36,0.36,0.36,000,0.34945
2016-03-03,0.39,0.39,0.39,0.39,1500,0.37857
2016-03-04,0.39,0.39,0.39,0.39,000,0.37857
2016-03-07,0.39,0.39,0.39,0.39,000,0.37857
2016-03-08,0.39,0.39,0.39,0.39,000,0.37857
2016-03-09,0.39,0.39,0.39,0.39,000,0.37857
2016-03-10,0.39,0.39,0.39,0.39,000,0.37857
2016-03-11,0.36,0.36,0.36,0.36,3000,0.34945
2016-03-14,0.36,0.36,0.36,0.36,000,0.34945
2016-03-15,0.36,0.36,0.36,0.36,000,0.34945
2016-03-16,0.365,0.365,0.365,0.365,3600,0.3543
2016-03-17,0.365,0.365,0.365,0.365,000,0.3543
2016-03-18,0.365,0.365,0.365,0.365,000,0.3543
2016-03-21,0.365,0.365,0.365,0.365,000,0.3543
2016-03-22,0.365,0.365,0.365,0.365,000,0.3543
2016-03-23,0.365,0.365,0.365,0.365,000,0.365
2016-03-24,0.365,0.365,0.365,0.365,000,0.365
2016-03-25,0.365,0.365,0.365,0.365,000,0.365
2016-03-28,0.365,0.365,0.365,0.365,000,0.365
2016-03-29,0.365,0.365,0.365,0.365,000,0.365
2016-03-30,0.37,0.37,0.37,0.37,3000,0.37
2016-03-31,0.37,0.37,0.37,0.37,000,0.37
2016-04-01,0.37,0.37,0.37,0.37,000,0.37
2016-04-04,0.37,0.37,0.37,0.37,000,0.37
2016-04-05,0.37,0.37,0.37,0.37,000,0.37
2016-04-06,0.37,0.37,0.37,0.37,000,0.37
2016-04-07,0.37,0.37,0.37,0.37,000,0.37
2016-04-08,0.395,0.40,0.395,0.40,22500,0.40
2016-04-11,0.40,0.40,0.40,0.40,2500,0.40
2016-04-12,0.40,0.40,0.40,0.40,000,0.40
2016-04-13,0.40,0.40,0.40,0.40,000,0.40
2016-04-14,0.385,0.385,0.385,0.385,5000,0.385
2016-04-15,0.385,0.385,0.385,0.385,500,0.385


2016-04-18,0.385,0.385,0.385,0.385,000,0.385
2016-04-19,0.385,0.385,0.385,0.385,000,0.385
2016-04-20,0.385,0.385,0.385,0.385,000,0.385
2016-04-21,0.38,0.38,0.35,0.35,2800,0.35
2016-04-22,0.35,0.35,0.35,0.35,000,0.35


2016-04-25,0.35,0.35,0.35,0.35,000,0.35
2016-04-26,0.40,0.40,0.40,0.40,1200,0.40
2016-04-27,0.40,0.40,0.40,0.40,1300,0.40
2016-04-28,0.40,0.40,0.40,0.40,1200,0.40
2016-04-29,0.40,0.40,0.40,0.40,000,0.40


2016-05-02,0.40,0.40,0.40,0.40,000,0.40
2016-05-03,0.40,0.40,0.40,0.40,000,0.40
2016-05-04,0.40,0.40,0.40,0.40,000,0.40
2016-05-05,0.40,0.40,0.40,0.40,000,0.40
2016-05-06,0.37,0.37,0.33,0.33,21700,0.33


2016-05-09,0.33,0.33,0.33,0.33,000,0.33
2016-05-10,0.33,0.33,0.33,0.33,000,0.33
2016-05-11,0.33,0.33,0.33,0.33,000,0.33
2016-05-12,0.34,0.34,0.34,0.34,18500,0.34
2016-05-13,0.36,0.36,0.355,0.355,7500,0.355


2016-05-16,0.355,0.355,0.355,0.355,000,0.355
2016-05-17,0.385,0.385,0.385,0.385,5000,0.385
2016-05-18,0.37,0.385,0.37,0.385,7800,0.385
2016-05-19,0.385,0.385,0.385,0.385,000,0.385
2016-05-20,0.385,0.385,0.385,0.385,000,0.385


2016-05-23,0.35,0.35,0.35,0.35,3000,0.35
2016-05-24,0.35,0.35,0.35,0.35,000,0.35
2016-05-25,0.35,0.35,0.35,0.35,000,0.35
2016-05-26,0.385,0.39,0.385,0.39,22000,0.39
2016-05-27,0.35,0.35,0.35,0.35,10000,0.35


2016-05-30,0.38,0.39,0.38,0.39,18000,0.39
2016-05-31,0.39,0.39,0.39,0.39,000,0.39
2016-06-01,0.39,0.39,0.39,0.39,000,0.39
2016-06-02,0.39,0.39,0.39,0.39,000,0.39
2016-06-03,0.39,0.39,0.39,0.39,000,0.39


2016-06-06,0.39,0.39,0.39,0.39,000,0.39
2016-06-07,0.39,0.39,0.39,0.39,000,0.39
2016-06-08,0.39,0.39,0.39,0.39,000,0.39
2016-06-09,0.35,0.35,0.35,0.35,4800,0.35
2016-06-10,0.39,0.39,0.39,0.39,9600,0.39


2016-06-13,0.39,0.39,0.39,0.39,000,0.39
2016-06-14,0.39,0.39,0.39,0.39,000,0.39
