Date,Open,High,Low,Close,Volume,Adj Close
2015-06-08,0.003,0.003,0.003,0.003,000,0.003
2015-06-09,0.003,0.003,0.003,0.003,000,0.003
2015-06-10,0.003,0.003,0.003,0.003,200000,0.003
2015-06-11,0.003,0.003,0.003,0.003,000,0.003
2015-06-12,0.003,0.003,0.003,0.003,000,0.003
2015-06-15,0.003,0.003,0.003,0.003,203000,0.003
2015-06-16,0.003,0.003,0.003,0.003,000,0.003
2015-06-17,0.003,0.003,0.003,0.003,000,0.003
2015-06-18,0.003,0.003,0.003,0.003,000,0.003
2015-06-19,0.003,0.003,0.003,0.003,1000000,0.003
2015-06-22,0.003,0.003,0.003,0.003,000,0.003
2015-06-23,0.003,0.003,0.003,0.003,000,0.003
2015-06-24,0.003,0.003,0.003,0.003,10000,0.003
2015-06-25,0.003,0.003,0.003,0.003,000,0.003
2015-06-26,0.003,0.003,0.003,0.003,000,0.003
2015-06-29,0.003,0.003,0.003,0.003,000,0.003
2015-06-30,0.003,0.003,0.003,0.003,160000,0.003
2015-07-01,0.003,0.003,0.003,0.003,577000,0.003
2015-07-02,0.003,0.003,0.003,0.003,000,0.003
2015-07-03,0.003,0.003,0.003,0.003,000,0.003
2015-07-06,0.003,0.003,0.003,0.003,000,0.003
2015-07-07,0.003,0.003,0.003,0.003,000,0.003
2015-07-08,0.003,0.003,0.003,0.003,000,0.003
2015-07-09,0.003,0.003,0.003,0.003,000,0.003
2015-07-10,0.003,0.003,0.003,0.003,000,0.003
2015-07-13,0.003,0.003,0.003,0.003,000,0.003
2015-07-14,0.003,0.003,0.003,0.003,000,0.003
2015-07-15,0.003,0.003,0.003,0.003,000,0.003
2015-07-16,0.003,0.003,0.003,0.003,000,0.003
2015-07-17,0.002,0.002,0.002,0.002,5600,0.002
2015-07-20,0.002,0.002,0.002,0.002,000,0.002
2015-07-21,0.002,0.002,0.002,0.002,000,0.002
2015-07-22,0.002,0.002,0.002,0.002,000,0.002
2015-07-23,0.002,0.002,0.002,0.002,000,0.002
2015-07-24,0.002,0.002,0.002,0.002,000,0.002
2015-07-27,0.002,0.002,0.002,0.002,000,0.002
2015-07-28,0.003,0.003,0.003,0.003,191300,0.003
2015-07-29,0.003,0.003,0.003,0.003,000,0.003
2015-07-30,0.003,0.003,0.003,0.003,000,0.003
2015-07-31,0.003,0.003,0.003,0.003,000,0.003
2015-08-03,0.003,0.003,0.003,0.003,2231600,0.003
2015-08-04,0.003,0.004,0.003,0.004,12250000,0.004
2015-08-05,0.004,0.004,0.004,0.004,15579700,0.004
2015-08-06,0.004,0.004,0.004,0.004,3226900,0.004
2015-08-07,0.003,0.003,0.003,0.003,55000,0.003
2015-08-10,0.004,0.004,0.003,0.003,893000,0.003
2015-08-11,0.003,0.003,0.003,0.003,000,0.003
2015-08-12,0.003,0.003,0.003,0.003,000,0.003
2015-08-13,0.003,0.003,0.003,0.003,8100,0.003
2015-08-14,0.003,0.003,0.003,0.003,000,0.003
2015-08-17,0.003,0.003,0.003,0.003,5767100,0.003
2015-08-18,0.003,0.003,0.003,0.003,2130500,0.003
2015-08-19,0.003,0.003,0.003,0.003,000,0.003
2015-08-20,0.003,0.003,0.003,0.003,000,0.003
2015-08-21,0.003,0.003,0.003,0.003,3650000,0.003
2015-08-24,0.003,0.003,0.003,0.003,000,0.003
2015-08-25,0.003,0.003,0.003,0.003,1500000,0.003
2015-08-26,0.003,0.003,0.003,0.003,000,0.003
2015-08-27,0.003,0.003,0.003,0.003,000,0.003
2015-08-28,0.003,0.003,0.003,0.003,000,0.003
2015-08-31,0.003,0.003,0.003,0.003,000,0.003
2015-09-01,0.003,0.003,0.003,0.003,000,0.003
2015-09-02,0.003,0.003,0.003,0.003,000,0.003
2015-09-03,0.003,0.003,0.003,0.003,300000,0.003
2015-09-04,0.003,0.003,0.003,0.003,000,0.003
2015-09-07,0.003,0.003,0.003,0.003,000,0.003
2015-09-08,0.003,0.003,0.003,0.003,000,0.003
2015-09-09,0.003,0.003,0.003,0.003,716900,0.003
2015-09-10,0.003,0.003,0.003,0.003,3000000,0.003
2015-09-11,0.003,0.003,0.003,0.003,2500000,0.003
2015-09-14,0.003,0.003,0.003,0.003,3900000,0.003
2015-09-15,0.003,0.003,0.003,0.003,000,0.003
2015-09-16,0.003,0.003,0.003,0.003,000,0.003
2015-09-17,0.003,0.003,0.003,0.003,000,0.003
2015-09-18,0.003,0.003,0.003,0.003,000,0.003
2015-09-21,0.003,0.003,0.003,0.003,000,0.003
2015-09-22,0.003,0.003,0.003,0.003,1455000,0.003
2015-09-23,0.003,0.003,0.003,0.003,000,0.003
2015-09-24,0.003,0.003,0.003,0.003,000,0.003
2015-09-25,0.004,0.004,0.004,0.004,210000,0.004
2015-09-28,0.004,0.004,0.004,0.004,000,0.004
2015-09-29,0.004,0.004,0.004,0.004,000,0.004
2015-09-30,0.003,0.003,0.003,0.003,6350000,0.003
2015-10-01,0.003,0.003,0.003,0.003,000,0.003
2015-10-02,0.003,0.003,0.003,0.003,2113300,0.003
2015-10-05,0.003,0.003,0.003,0.003,000,0.003
2015-10-06,0.003,0.003,0.003,0.003,300000,0.003
2015-10-07,0.003,0.003,0.003,0.003,2503300,0.003
2015-10-08,0.003,0.003,0.003,0.003,000,0.003
2015-10-09,0.003,0.003,0.003,0.003,493000,0.003
2015-10-12,0.003,0.003,0.003,0.003,1493600,0.003
2015-10-13,0.003,0.003,0.003,0.003,000,0.003
2015-10-14,0.003,0.003,0.003,0.003,000,0.003
2015-10-15,0.002,0.002,0.002,0.002,4200,0.002
2015-10-16,0.003,0.003,0.003,0.003,166600,0.003
2015-10-19,0.003,0.003,0.003,0.003,000,0.003
2015-10-20,0.003,0.003,0.003,0.003,000,0.003
2015-10-21,0.003,0.003,0.003,0.003,000,0.003
2015-10-22,0.003,0.003,0.003,0.003,000,0.003
2015-10-23,0.003,0.003,0.003,0.003,000,0.003
2015-10-26,0.003,0.003,0.003,0.003,000,0.003
2015-10-27,0.003,0.003,0.003,0.003,000,0.003
2015-10-28,0.003,0.003,0.003,0.003,000,0.003
2015-10-29,0.003,0.004,0.003,0.004,26843600,0.004
2015-10-30,0.004,0.004,0.004,0.004,000,0.004
2015-11-02,0.004,0.004,0.004,0.004,000,0.004
2015-11-03,0.004,0.004,0.004,0.004,000,0.004
2015-11-04,0.003,0.003,0.003,0.003,12998500,0.003
2015-11-05,0.003,0.003,0.003,0.003,17200800,0.003
2015-11-06,0.004,0.004,0.003,0.003,2990200,0.003
2015-11-09,0.003,0.003,0.003,0.003,1909200,0.003
2015-11-10,0.003,0.003,0.003,0.003,279900,0.003
2015-11-11,0.003,0.003,0.003,0.003,000,0.003
2015-11-12,0.003,0.003,0.003,0.003,1849200,0.003
2015-11-13,0.003,0.003,0.003,0.003,6112300,0.003
2015-11-16,0.003,0.003,0.003,0.003,000,0.003
2015-11-17,0.003,0.003,0.003,0.003,000,0.003
2015-11-18,0.003,0.003,0.003,0.003,000,0.003
2015-11-19,0.003,0.003,0.003,0.003,000,0.003
2015-11-20,0.003,0.003,0.003,0.003,650000,0.003
2015-11-23,0.003,0.003,0.003,0.003,000,0.003
2015-11-24,0.003,0.003,0.003,0.003,000,0.003
2015-11-25,0.003,0.003,0.003,0.003,482300,0.003
2015-11-26,0.003,0.003,0.003,0.003,000,0.003
2015-11-27,0.003,0.003,0.003,0.003,000,0.003
2015-11-30,0.003,0.003,0.003,0.003,000,0.003
2015-12-01,0.003,0.003,0.003,0.003,000,0.003
2015-12-02,0.003,0.003,0.003,0.003,000,0.003
2015-12-03,0.003,0.003,0.003,0.003,000,0.003
2015-12-04,0.003,0.003,0.003,0.003,000,0.003
2015-12-07,0.003,0.003,0.003,0.003,000,0.003
2015-12-08,0.003,0.003,0.003,0.003,000,0.003
2015-12-09,0.003,0.003,0.003,0.003,000,0.003
2015-12-10,0.003,0.003,0.003,0.003,000,0.003
2015-12-11,0.003,0.003,0.003,0.003,000,0.003
2015-12-14,0.003,0.003,0.003,0.003,000,0.003
2015-12-15,0.003,0.003,0.003,0.003,000,0.003
2015-12-16,0.003,0.003,0.003,0.003,000,0.003
2015-12-17,0.003,0.003,0.003,0.003,000,0.003
2015-12-18,0.003,0.003,0.003,0.003,000,0.003
2015-12-21,0.003,0.003,0.003,0.003,000,0.003
2015-12-22,0.003,0.003,0.003,0.003,000,0.003
2015-12-23,0.002,0.002,0.002,0.002,2706800,0.002
2015-12-24,0.002,0.002,0.002,0.002,000,0.002
2015-12-25,0.002,0.002,0.002,0.002,000,0.002
2015-12-28,0.002,0.002,0.002,0.002,000,0.002
2015-12-29,0.002,0.002,0.002,0.002,000,0.002
2015-12-30,0.002,0.002,0.002,0.002,333300,0.002
2015-12-31,0.002,0.002,0.002,0.002,000,0.002
2016-01-01,0.002,0.002,0.002,0.002,000,0.002
2016-01-04,0.003,0.003,0.003,0.003,4200,0.003
2016-01-05,0.003,0.003,0.003,0.003,000,0.003
2016-01-06,0.003,0.003,0.003,0.003,000,0.003
2016-01-07,0.003,0.003,0.003,0.003,000,0.003
2016-01-08,0.003,0.003,0.003,0.003,000,0.003
2016-01-11,0.003,0.003,0.003,0.003,000,0.003
2016-01-12,0.003,0.003,0.003,0.003,000,0.003
2016-01-13,0.002,0.002,0.002,0.002,500000,0.002
2016-01-14,0.002,0.002,0.002,0.002,000,0.002
2016-01-15,0.002,0.002,0.002,0.002,000,0.002
2016-01-18,0.002,0.002,0.002,0.002,000,0.002
2016-01-19,0.002,0.002,0.002,0.002,000,0.002
2016-01-20,0.002,0.002,0.002,0.002,000,0.002
2016-01-21,0.002,0.002,0.002,0.002,1288400,0.002
2016-01-22,0.002,0.002,0.002,0.002,000,0.002
2016-01-25,0.002,0.002,0.002,0.002,000,0.002
2016-01-26,0.002,0.002,0.002,0.002,000,0.002
2016-01-27,0.003,0.004,0.003,0.004,11237300,0.004
2016-01-28,0.004,0.006,0.004,0.006,2797000,0.006
2016-01-29,0.005,0.005,0.003,0.003,521900,0.003
2016-02-01,0.005,0.005,0.004,0.004,9989900,0.004
2016-02-02,0.004,0.004,0.004,0.004,1655000,0.004
2016-02-03,0.004,0.005,0.004,0.005,2826400,0.005
2016-02-04,0.005,0.005,0.005,0.005,000,0.005
2016-02-05,0.005,0.005,0.005,0.005,000,0.005
2016-02-08,0.008,0.01,0.006,0.006,80472900,0.006
2016-02-09,0.006,0.006,0.006,0.006,10152800,0.006
2016-02-10,0.005,0.006,0.005,0.005,1070100,0.005
2016-02-11,0.005,0.005,0.005,0.005,000,0.005
2016-02-12,0.005,0.005,0.005,0.005,000,0.005
2016-02-15,0.005,0.006,0.005,0.005,7488500,0.005
2016-02-16,0.005,0.005,0.005,0.005,000,0.005
2016-02-17,0.005,0.005,0.005,0.005,820400,0.005
2016-02-18,0.005,0.006,0.005,0.006,500000,0.006
2016-02-19,0.006,0.006,0.004,0.004,7799900,0.004
2016-02-22,0.004,0.004,0.004,0.004,000,0.004
2016-02-23,0.004,0.004,0.004,0.004,000,0.004
2016-02-24,0.004,0.004,0.004,0.004,000,0.004
2016-02-25,0.005,0.005,0.005,0.005,4180600,0.005
2016-02-26,0.005,0.005,0.005,0.005,000,0.005
2016-02-29,0.005,0.005,0.005,0.005,1023500,0.005
2016-03-01,0.006,0.006,0.006,0.006,6237600,0.006
2016-03-02,0.007,0.007,0.006,0.006,7156600,0.006
2016-03-03,0.006,0.006,0.006,0.006,3494400,0.006
2016-03-04,0.006,0.006,0.006,0.006,000,0.006
2016-03-07,0.006,0.009,0.006,0.009,25637400,0.009
2016-03-08,0.01,0.011,0.009,0.009,28612800,0.009
2016-03-09,0.01,0.01,0.008,0.008,6015500,0.008
2016-03-10,0.009,0.012,0.009,0.011,10083200,0.011
2016-03-11,0.012,0.012,0.01,0.011,12193100,0.011
2016-03-14,0.011,0.016,0.011,0.014,14842200,0.014
2016-03-15,0.015,0.019,0.013,0.014,38331100,0.014
2016-03-16,0.014,0.014,0.012,0.012,5265400,0.012
2016-03-17,0.012,0.012,0.012,0.012,3012800,0.012
2016-03-18,0.012,0.012,0.011,0.011,2144600,0.011
2016-03-21,0.012,0.012,0.011,0.011,1609200,0.011
2016-03-22,0.011,0.011,0.011,0.011,000,0.011
2016-03-23,0.011,0.013,0.011,0.013,2731400,0.013
2016-03-24,0.013,0.013,0.013,0.013,000,0.013
2016-03-25,0.013,0.013,0.013,0.013,000,0.013
2016-03-28,0.013,0.013,0.013,0.013,000,0.013
2016-03-29,0.012,0.012,0.012,0.012,819200,0.012
2016-03-30,0.011,0.011,0.01,0.01,1545800,0.01
2016-03-31,0.01,0.01,0.01,0.01,3741300,0.01
2016-04-01,0.009,0.009,0.008,0.009,3471900,0.009
2016-04-04,0.009,0.009,0.009,0.009,670700,0.009
2016-04-05,0.009,0.009,0.009,0.009,23800,0.009
2016-04-06,0.009,0.009,0.009,0.009,614400,0.009
2016-04-07,0.009,0.009,0.009,0.009,1040000,0.009
2016-04-08,0.01,0.013,0.01,0.012,9662700,0.012
2016-04-11,0.013,0.013,0.011,0.011,2573500,0.011
2016-04-12,0.012,0.013,0.012,0.013,1035800,0.013
2016-04-13,0.011,0.011,0.01,0.01,3105300,0.01
2016-04-14,0.01,0.01,0.009,0.009,3616400,0.009
2016-04-15,0.009,0.011,0.007,0.01,8884600,0.01


2016-04-18,0.011,0.0115,0.011,0.011,4074600,0.011
2016-04-19,0.012,0.017,0.012,0.016,17672300,0.016
2016-04-20,0.017,0.027,0.016,0.026,25766800,0.026
2016-04-21,0.025,0.025,0.018,0.02,14873800,0.02
2016-04-22,0.02,0.02,0.016,0.019,2991200,0.019


2016-04-25,0.019,0.019,0.019,0.019,000,0.019
2016-04-26,0.017,0.019,0.016,0.019,6312500,0.019
2016-04-27,0.02,0.02,0.017,0.017,2303200,0.017
2016-04-28,0.018,0.021,0.016,0.021,10454300,0.021
2016-04-29,0.02,0.023,0.018,0.018,11379000,0.018


2016-05-02,0.019,0.021,0.018,0.02,5576900,0.02
2016-05-03,0.02,0.021,0.018,0.018,2265300,0.018
2016-05-04,0.019,0.02,0.018,0.019,1470800,0.019
2016-05-05,0.019,0.0195,0.018,0.018,2621600,0.018
2016-05-06,0.019,0.019,0.018,0.018,1270400,0.018


2016-05-09,0.018,0.023,0.018,0.023,6258500,0.023
2016-05-10,0.023,0.025,0.021,0.021,5180500,0.021
2016-05-11,0.021,0.021,0.021,0.021,000,0.021
2016-05-12,0.04,0.042,0.027,0.028,98587800,0.028
2016-05-13,0.028,0.029,0.025,0.026,19460800,0.026


2016-05-16,0.029,0.035,0.029,0.032,23624600,0.032
2016-05-17,0.031,0.04,0.029,0.034,34593800,0.034
2016-05-18,0.035,0.039,0.032,0.032,12787500,0.032
2016-05-19,0.034,0.035,0.03,0.03,5489800,0.03
2016-05-20,0.03,0.03,0.03,0.03,000,0.03


2016-05-23,0.03,0.03,0.03,0.03,000,0.03
2016-05-24,0.034,0.038,0.033,0.033,9854900,0.033
2016-05-25,0.034,0.0345,0.032,0.034,2503400,0.034
2016-05-26,0.034,0.037,0.034,0.037,3860000,0.037
2016-05-27,0.037,0.037,0.034,0.034,6190300,0.034


2016-05-30,0.036,0.039,0.034,0.039,9099000,0.039
2016-05-31,0.041,0.045,0.041,0.045,26939700,0.045
2016-06-01,0.046,0.046,0.04,0.04,12304100,0.04
2016-06-02,0.04,0.044,0.037,0.037,7457800,0.037
2016-06-03,0.039,0.039,0.037,0.037,4925400,0.037


2016-06-06,0.038,0.042,0.038,0.041,7871100,0.041
2016-06-07,0.043,0.044,0.036,0.038,11290100,0.038
2016-06-08,0.036,0.041,0.033,0.038,12054600,0.038
2016-06-09,0.04,0.041,0.035,0.037,11461000,0.037
2016-06-10,0.038,0.039,0.036,0.036,3519900,0.036


2016-06-13,0.036,0.036,0.036,0.036,000,0.036
2016-06-14,0.037,0.038,0.036,0.036,2822900,0.036
